% Card Cycle,t(s) abs,t (s),ECG (mV),AoP (mmHg),LVP (mmHg),LAD Flow (mL/s),AoP/Flow,Pao/PLV,rad strain,circ strain,long strain,"tissue vol ischemic (,;)",tissue vol border (ml),tissue vol remote (ml)
0.00,0.000,0.704,-0.379,54.158,14.649,31.527,1.7,3.7,0,0,0,0.686039,0.818857,0.978119
0.01,0.007,0.711,-0.954,53.945,16.56,30.542,1.8,3.3,0.000833215,-0.001705892,-0.001121124,0.68633,0.821511,0.981425
0.02,0.013,0.717,0.513,53.519,18.683,29.064,1.8,2.9,0.002288754,-0.004229198,-0.002890577,0.685243,0.82242,0.98043
0.03,0.020,0.724,0.71,53.519,21.443,27.094,2.0,2.5,0.005153372,-0.006867823,-0.005550849,0.684307,0.823543,0.980083
0.04,0.027,0.731,0.663,53.092,24.416,25.123,2.1,2.2,0.007376148,-0.009493255,-0.006772941,0.684729,0.821155,0.975727
0.05,0.034,0.737,0.678,53.306,29.511,22.66,2.4,1.8,0.007745498,-0.010523662,-0.007503215,0.685184,0.817699,0.966468
0.05,0.040,0.744,0.681,54.158,35.456,20.69,2.6,1.5,0.008589938,-0.011521839,-0.00783816,0.681638,0.81464,0.962259
0.06,0.047,0.751,0.699,54.372,41.613,18.227,3.0,1.3,0.008967693,-0.01126503,-0.008032158,0.678872,0.811849,0.959485
0.07,0.054,0.757,0.681,54.372,47.558,13.793,3.9,1.1,0.007272734,-0.010735724,-0.008646184,0.678915,0.811922,0.956551
0.08,0.060,0.764,0.696,56.077,53.078,8.867,6.3,1.1,0.006475484,-0.00963024,-0.010062614,0.678783,0.812485,0.95629
0.09,0.067,0.771,0.678,59.062,58.174,2.956,20.0,1.0,0.006701964,-0.01014695,-0.012594023,0.678422,0.813912,0.956934
0.10,0.074,0.778,0.667,62.048,62.42,3.449,18.0,1.0,0.007237521,-0.011528554,-0.015260268,0.676576,0.813307,0.954789
0.11,0.080,0.784,0.678,64.606,65.392,8.375,7.7,1.0,0.008579036,-0.013026868,-0.018287091,0.676365,0.812591,0.952781
0.12,0.087,0.791,0.649,67.378,68.153,14.779,4.6,1.0,0.0096768,-0.015551556,-0.02066649,0.673765,0.809603,0.948491
0.13,0.094,0.798,0.663,69.297,70.063,20.69,3.3,1.0,0.011558982,-0.018355957,-0.023358485,0.671311,0.809635,0.94576
0.14,0.101,0.804,0.653,71.003,71.55,25.123,2.8,1.0,0.012964536,-0.021472642,-0.025821301,0.668503,0.808265,0.944178
0.15,0.107,0.811,0.642,71.856,72.399,27.587,2.6,1.0,0.014430074,-0.024918065,-0.027911574,0.666512,0.80761,0.94139
0.15,0.114,0.818,0.649,72.495,72.823,29.064,2.5,1.0,0.017009545,-0.029622488,-0.029658761,0.663928,0.805053,0.938719
0.16,0.121,0.824,0.628,73.135,73.248,29.064,2.5,1.0,0.020699507,-0.034903418,-0.032148258,0.662658,0.805121,0.93661
0.17,0.127,0.831,0.642,73.561,73.673,29.064,2.5,1.0,0.024503148,-0.039494633,-0.034864889,0.661,0.804272,0.934628
0.18,0.134,0.838,0.631,73.988,73.885,28.572,2.6,1.0,0.027312163,-0.043064697,-0.037417232,0.658604,0.803148,0.933158
0.19,0.141,0.845,0.624,74.201,73.885,28.079,2.6,1.0,0.0303534,-0.046851352,-0.039780121,0.657655,0.803219,0.930412
0.20,0.147,0.851,0.635,74.414,73.885,27.587,2.7,1.0,0.03282007,-0.050281122,-0.04175517,0.655658,0.802614,0.928203
0.21,0.154,0.858,0.617,74.841,74.31,27.587,2.7,1.0,0.035585489,-0.053223238,-0.04359249,0.65418,0.801344,0.926423
0.22,0.161,0.865,0.646,75.054,74.31,27.587,2.7,1.0,0.037728953,-0.056744094,-0.045432866,0.652252,0.800417,0.924043
0.23,0.168,0.871,0.631,75.694,74.734,27.587,2.7,1.0,0.039692027,-0.060207683,-0.046972873,0.650849,0.799932,0.922859
0.24,0.174,0.878,0.631,75.907,74.947,28.079,2.7,1.0,0.0417797,-0.063908434,-0.047752393,0.649054,0.799689,0.921063
0.25,0.181,0.885,0.649,76.333,75.159,28.572,2.7,1.0,0.044284928,-0.067542031,-0.049075797,0.64822,0.799547,0.919714
0.25,0.188,0.892,0.631,76.973,75.584,29.064,2.6,1.0,0.046920812,-0.071282153,-0.050440935,0.646555,0.798318,0.917986
0.26,0.194,0.898,0.66,77.186,75.796,30.05,2.6,1.0,0.049221639,-0.075353219,-0.052098694,0.645297,0.798594,0.91678
0.27,0.201,0.905,0.66,77.613,76.008,30.542,2.5,1.0,0.052179456,-0.07929863,-0.054022777,0.643612,0.798305,0.915566
0.28,0.208,0.912,0.674,77.613,76.008,31.035,2.5,1.0,0.054391834,-0.082875274,-0.05608756,0.642272,0.797797,0.913518
0.29,0.215,0.918,0.706,77.826,76.22,31.527,2.5,1.0,0.055762077,-0.086444629,-0.05743806,0.641064,0.79674,0.911132
0.30,0.221,0.925,0.678,78.039,76.433,31.527,2.5,1.0,0.058013935,-0.089498422,-0.059156432,0.63974,0.796697,0.910517
0.31,0.228,0.932,0.663,78.039,76.22,32.02,2.4,1.0,0.06049788,-0.092406561,-0.060874917,0.638425,0.796735,0.909236
0.32,0.235,0.938,0.592,78.039,76.22,31.035,2.5,1.0,0.062734402,-0.095138997,-0.062578652,0.637982,0.796109,0.908925
0.33,0.241,0.945,0.538,77.613,75.796,30.542,2.5,1.0,0.064895606,-0.097770407,-0.064051681,0.636948,0.796609,0.907349
0.34,0.248,0.952,0.556,77.399,75.159,29.557,2.6,1.0,0.067072418,-0.100174388,-0.065088613,0.635547,0.796447,0.906942
0.35,0.255,0.959,0.588,77.186,74.947,29.064,2.7,1.0,0.069125852,-0.102406939,-0.06623931,0.634709,0.796075,0.905603
0.35,0.261,0.965,0.656,76.76,74.31,28.572,2.7,1.0,0.071102322,-0.104778659,-0.067274575,0.634188,0.795681,0.904574
0.36,0.268,0.972,0.66,75.907,73.46,28.079,2.7,1.0,0.073281727,-0.106778796,-0.068124203,0.633113,0.795034,0.90394
0.37,0.275,0.979,0.678,75.054,72.399,27.587,2.7,1.0,0.075112898,-0.10906749,-0.069628898,0.632482,0.7951,0.903483
0.38,0.282,0.985,0.685,74.201,71.125,27.094,2.7,1.0,0.077057438,-0.110419721,-0.070543274,0.63093,0.794519,0.902609
0.39,0.288,0.992,0.674,73.561,70.276,26.109,2.8,1.0,0.079281869,-0.111570054,-0.071457679,0.630658,0.794261,0.902345
0.40,0.295,0.999,0.692,72.282,68.365,25.123,2.9,1.1,0.080969528,-0.111837615,-0.07231138,0.630764,0.794176,0.902055
0.41,0.302,1.005,0.674,71.003,66.666,24.138,2.9,1.1,0.0829903,-0.111703455,-0.073444139,0.630352,0.794013,0.901638
0.42,0.308,1.012,0.678,69.297,64.119,23.153,3.0,1.1,0.084863926,-0.110341577,-0.075235857,0.629806,0.793719,0.900466
0.43,0.315,1.019,0.692,66.952,61.358,22.168,3.0,1.1,0.087564219,-0.110057346,-0.077977592,0.630925,0.79375,0.899145
0.44,0.322,1.026,0.671,65.033,58.174,20.197,3.2,1.1,0.089599411,-0.109285856,-0.080741275,0.632043,0.793894,0.899465
0.45,0.328,1.032,0.692,64.18,53.715,18.227,3.5,1.2,0.092284032,-0.107949946,-0.083478138,0.634471,0.794744,0.898737
0.45,0.335,1.039,0.678,70.576,47.346,17.242,4.1,1.5,0.093471169,-0.106415351,-0.08521136,0.635048,0.794494,0.898817
0.46,0.342,1.046,0.681,71.216,42.675,29.557,2.4,1.7,0.095776279,-0.104793511,-0.086791506,0.63524,0.795443,0.899352
0.47,0.349,1.052,0.685,70.15,38.429,40.887,1.7,1.8,0.099011432,-0.103600513,-0.086878245,0.636853,0.794299,0.899443
