cardiac cycle [%],t abs [s],t [s],LVP [mmHg],ECG [mV],LAD Flow [ml/s],AoP [mmHg],rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml]
0.0,0.0,0.197354,4.691,1.049,46.306,61.146,0.0,0.0,0.0,1.189417,1.117521,0.991897
0.006210937728666105,0.0031829999999999914,0.200537,5.544,0.899,45.813,60.297,0.00117537678166464,-0.000908426887819332,-0.00146421780141034,1.188591,1.120065,0.99417
0.012421875457332263,0.0063660000000000105,0.20372,5.97,0.735,45.813,60.085,0.00178186549455549,-0.00164291740793238,-0.00301676681774261,1.186172,1.121505,0.995154
0.018632813185998368,0.009549000000000002,0.206903,7.463,0.703,44.828,58.811,0.00218539013545319,-0.00239892827528477,-0.00402177685413072,1.183017,1.121952,0.994569
0.024843750914664474,0.012731999999999993,0.210086,10.021,0.713,45.321,59.872,0.00225842974555879,-0.00296818878094992,-0.00480712741801303,1.179549,1.1201,0.994496
0.031054688643330577,0.015914999999999985,0.213269,13.433,0.703,44.828,60.085,0.00258752628194559,-0.00328251278620537,-0.00569939217372281,1.177637,1.117088,0.993074
0.03726757765623446,0.019099000000000005,0.216453,16.205,0.688,44.335,60.509,0.00199264750822807,-0.00274278184541186,-0.00603574156193203,1.174613,1.117975,0.993933
0.043478515384900565,0.022281999999999996,0.219636,18.763,0.674,43.843,59.66,0.00147196957928831,-0.0020288277396986,-0.00649932353311791,1.17597,1.121007,0.992739
0.049689453113566664,0.025464999999999988,0.222819,21.962,0.646,43.843,58.386,0.00110364046248006,-0.00113965574178068,-0.00670950098528501,1.173587,1.117993,0.991593
0.055900390842232826,0.028648000000000007,0.226002,26.013,0.642,43.35,59.023,0.000328132165115816,8.21577533545452e-05,-0.00723205835821461,1.17367,1.117792,0.990968
0.06211132857089893,0.031831,0.229185,30.49,0.66,42.365,59.023,-0.000842644222113563,0.00136498868971859,-0.00756933146827778,1.172788,1.119243,0.99213
0.06832226629956503,0.03501399999999999,0.232368,34.328,0.66,40.887,59.872,-0.00215803865665975,0.00245934665996842,-0.0074256719449959,1.169865,1.11776,0.993507
0.0745332040282312,0.03819700000000001,0.235551,37.313,0.649,39.902,59.023,-0.00282462087068299,0.00327050636442785,-0.00732821551362867,1.172139,1.119523,0.991839
0.0807441417568973,0.04138,0.238734,40.085,0.628,38.424,58.386,-0.00311663083599507,0.00415790170772493,-0.00771777251952392,1.169118,1.118275,0.990746
0.08695703076980113,0.04456399999999999,0.241918,43.284,0.628,36.454,58.811,-0.00337757636047705,0.00474916888434175,-0.00782119181051689,1.168518,1.119044,0.989328
0.09316796849846729,0.04774700000000001,0.245101,46.269,0.646,33.99,59.66,-0.00425460324453697,0.005410107258201,-0.00867210575544919,1.168062,1.118079,0.988026
0.09937890622713338,0.05093,0.248284,49.041,0.66,32.02,61.783,-0.00493218852125035,0.00598845954755592,-0.010149263171562,1.165608,1.118764,0.987291
0.1055898439557995,0.054112999999999994,0.251467,50.959,0.649,29.064,61.995,-0.00548864775060605,0.00646417931608757,-0.0110902824252444,1.163986,1.118154,0.986665
0.1118007816844656,0.057295999999999986,0.25465,52.665,0.631,26.601,63.482,-0.00603687891948263,0.00675005281014289,-0.0117411878157507,1.164446,1.118094,0.986389
0.1180117194131317,0.06047899999999998,0.257833,54.584,0.631,24.138,64.755,-0.00567644534106894,0.00684487101642737,-0.0121114544861577,1.162511,1.117108,0.984557
0.12422265714179792,0.06366200000000002,0.261016,56.503,0.642,21.675,66.666,-0.00464642949871561,0.00653951416139762,-0.012903891618502,1.162176,1.117051,0.98306
0.13043359487046402,0.06684500000000002,0.264199,58.209,0.66,19.212,69.426,-0.0036742730685455,0.00587899772379477,-0.0142698124325607,1.160873,1.116735,0.983772
0.13664648388336778,0.07002899999999998,0.267383,59.488,0.653,17.734,70.488,-0.00299757447907962,0.00494542725010409,-0.0158013171491332,1.159336,1.116588,0.98355
0.1428574216120339,0.07321199999999997,0.270566,60.128,0.638,16.256,70.7,-0.00171778955309636,0.00341965129833322,-0.0178531946073604,1.159939,1.117385,0.98305
0.14906835934070012,0.07639500000000002,0.273749,61.194,0.624,15.271,70.7,-3.00229244976106e-05,0.00167093853376597,-0.019966145609195,1.156115,1.114375,0.981072
0.15527929706936622,0.07957800000000001,0.276932,62.26,0.635,14.286,72.399,0.000686990969808974,-0.00037756905250779,-0.0235725956565876,1.157084,1.114498,0.980609
0.16149023479803232,0.082761,0.280115,63.753,0.656,14.286,73.46,0.00220380869451533,-0.00305809060038897,-0.0254799504569823,1.153132,1.114235,0.979462
0.16770117252669842,0.08594399999999999,0.283298,64.606,0.653,14.286,74.097,0.00386984078162108,-0.00614179199751231,-0.0256709684469711,1.148376,1.11305,0.978893
0.17391211025536452,0.08912699999999998,0.286481,64.819,0.635,14.779,74.097,0.00454494524060257,-0.00856494348555014,-0.0269635331059959,1.146403,1.115486,0.978377
0.18012304798403064,0.09230999999999998,0.289664,65.458,0.621,15.271,73.248,0.00558829005727053,-0.0112084736609974,-0.0302684713276134,1.142783,1.114303,0.977343
0.18633593699693451,0.095494,0.292848,66.311,0.624,16.256,74.522,0.00773065428710739,-0.0145062692708563,-0.0325404800290469,1.142878,1.114595,0.976044
0.19254687472560061,0.09867699999999999,0.296031,67.591,0.642,16.256,74.947,0.0105354267696953,-0.0173559832972837,-0.0342524415267356,1.140142,1.114822,0.976294
0.1987578124542667,0.10185999999999998,0.299214,68.23,0.649,17.242,75.796,0.0129856728352751,-0.0199982513628258,-0.0360279498840488,1.137046,1.115181,0.977342
0.20496875018293292,0.10504300000000003,0.302397,68.017,0.635,17.734,75.159,0.0154897858464307,-0.0224634632461463,-0.0371634619914208,1.135236,1.115761,0.974139
0.21117968791159905,0.10822600000000002,0.30558,67.804,0.617,18.72,74.31,0.0190766444307724,-0.0252372690966985,-0.0382863054862282,1.132676,1.116142,0.973265
0.21739062564026515,0.11140900000000001,0.308763,68.443,0.617,19.212,74.947,0.0222005740877754,-0.0282258959448406,-0.0392727973812721,1.128991,1.113673,0.972417
0.22360156336893125,0.114592,0.311946,69.083,0.631,19.705,75.371,0.0246979480764098,-0.0310413599828744,-0.0409817648027587,1.128837,1.113595,0.971927
0.22981250109759735,0.11777499999999999,0.315129,69.51,0.646,20.197,76.645,0.0276427217358868,-0.0337634661171861,-0.0423844794563241,1.123906,1.112794,0.97125
0.23602343882626345,0.12095799999999998,0.318312,68.657,0.638,20.69,75.796,0.0308587369304937,-0.0370640229002334,-0.0448120567903896,1.11613,1.111022,0.971377
0.24223632783916735,0.124142,0.321496,67.804,0.617,20.69,75.371,0.0332001048121824,-0.0405271363093638,-0.0475189615163063,1.115893,1.112734,0.970978
0.24844726556783345,0.127325,0.324679,67.377,0.621,20.69,74.947,0.0350617411753365,-0.0438134911374826,-0.0501283244329577,1.115122,1.114035,0.970549
0.2546582032964996,0.13050799999999999,0.327862,67.804,0.631,20.69,75.371,0.0383186568341761,-0.0473950998616837,-0.053699771441144,1.110984,1.114322,0.968663
0.2608691410251657,0.13369099999999998,0.331045,67.804,0.646,21.183,76.645,0.0403531543991747,-0.0497893465664822,-0.0559739686977405,1.106498,1.112472,0.965173
0.2670800787538319,0.13687400000000002,0.334228,67.377,0.642,21.183,75.583,0.0436305403618848,-0.0521280618335546,-0.0586650039886293,1.100751,1.112895,0.962827
0.273291016482498,0.14005700000000001,0.337411,66.525,0.617,20.69,75.371,0.0473970370514998,-0.0544867816354293,-0.0607239395228961,1.095355,1.111021,0.961644
0.2795019542111641,0.14324,0.340594,66.311,0.613,20.69,74.522,0.0515951238704566,-0.0568202969833744,-0.0619381799042543,1.095084,1.111032,0.961272
0.28571484322406787,0.14642399999999997,0.343778,66.311,0.621,20.69,75.371,0.0545830407675486,-0.0590622792655029,-0.0630859193009195,1.091076,1.110811,0.961356
0.2919257809527341,0.14960700000000002,0.346961,66.525,0.638,20.69,76.22,0.0580394422380657,-0.0613558430101758,-0.0641722181097279,1.087057,1.109983,0.96066
0.2981367186814002,0.15279,0.350144,66.098,0.638,20.69,76.008,0.0608289620953476,-0.0635287108082085,-0.0653095330913574,1.084718,1.109099,0.959594
0.3043476564100663,0.155973,0.353327,65.672,0.628,20.69,75.583,0.063885513350235,-0.0653461843996379,-0.0663571440278254,1.08286,1.110004,0.962126
0.3105585941387324,0.159156,0.35651,65.458,0.617,20.69,74.522,0.0681363102083111,-0.0670211201964632,-0.0677349798007516,1.080654,1.109716,0.961305
0.3167695318673985,0.16233899999999998,0.359693,65.672,0.621,20.69,75.583,0.0718880293320811,-0.0689394991054259,-0.069067052871227,1.081049,1.109362,0.959944
0.3229804695960646,0.16552199999999997,0.362876,66.525,0.642,20.197,75.796,0.0761431477608273,-0.0708182923834988,-0.0703754746970062,1.079246,1.109453,0.958506
0.3291914073247308,0.16870500000000002,0.366059,66.951,0.646,20.197,76.433,0.0812829121523504,-0.0727506066812382,-0.0706654428860605,1.076409,1.107905,0.958067
0.3354042963376346,0.171889,0.369243,67.164,0.628,20.197,75.796,0.0858787412419289,-0.0742789598038356,-0.071341112384349,1.075888,1.107342,0.958308
0.3416152340663007,0.17507199999999998,0.372426,67.377,0.613,20.197,74.734,0.089714365164021,-0.0759927884573955,-0.0720068853558939,1.074166,1.106638,0.957679
0.3478261717949669,0.17825500000000002,0.375609,67.804,0.617,20.197,75.371,0.0934913350142571,-0.0775648522884423,-0.0729435781545671,1.07079,1.105787,0.95583
0.354037109523633,0.18143800000000002,0.378792,68.657,0.628,20.197,75.796,0.0972190123783106,-0.0790645360522148,-0.0741454426926357,1.068513,1.106225,0.95402
0.3602480472522991,0.184621,0.381975,69.296,0.631,20.197,76.857,0.100649971172974,-0.0806321174752062,-0.0760530992675181,1.065939,1.106061,0.95267
0.3664589849809652,0.187804,0.385158,69.296,0.617,20.197,75.583,0.103940411446807,-0.082084803022087,-0.0783240645280728,1.066274,1.107663,0.95477
0.3726699227096313,0.190987,0.388341,68.657,0.588,20.197,75.159,0.108455853974561,-0.0836701700874895,-0.0793211499894352,1.062017,1.106296,0.95404
0.37888086043829744,0.19416999999999998,0.391524,68.23,0.581,20.69,75.159,0.112426920271671,-0.0852077673629402,-0.0808142144029,1.061747,1.107256,0.95314
0.3850937494512013,0.197354,0.394708,68.23,0.588,20.197,75.371,0.11665362572707,-0.0865161579815356,-0.0817595752295516,1.061418,1.108126,0.952349
0.3913046871798674,0.200537,0.397891,67.804,0.596,20.197,76.645,0.120435760384102,-0.0884186898571792,-0.0808666410551082,1.058245,1.106285,0.955403
0.3975156249085335,0.20371999999999998,0.401074,66.951,0.592,20.197,75.583,0.124225277852275,-0.0900200316877106,-0.081006432097259,1.059691,1.106642,0.954105
0.4037265626371996,0.20690299999999998,0.404257,66.311,0.571,20.197,75.159,0.126902270250841,-0.0919635516908517,-0.081931598777308,1.056153,1.10649,0.954323
0.40993750036586585,0.21008600000000002,0.40744,66.098,0.563,20.69,74.097,0.128692901674237,-0.0937217957567131,-0.0832888205265836,1.054907,1.10632,0.953686
0.41614843809453195,0.21326900000000001,0.410623,66.098,0.588,20.69,74.947,0.1282250889441,-0.0954621736071813,-0.0867211240655002,1.052865,1.105691,0.952782
0.42235937582319805,0.216452,0.413806,65.672,0.617,20.69,75.796,0.128740067185877,-0.0972113244340323,-0.0871337482237938,1.048139,1.103369,0.951685
0.42857031355186415,0.219635,0.416989,65.032,0.624,20.69,75.159,0.128570496391097,-0.0983860570404776,-0.0883584620956866,1.043312,1.103196,0.951889
0.434783202564768,0.22281900000000002,0.420173,64.179,0.613,20.69,74.31,0.128108934970681,-0.100043080928064,-0.0894206883896975,1.044423,1.104055,0.951598
