cardiac cycle [%],t abs [s],t [s],LVP [mmHg],ECG [mV],LAD Flow [ml/s],AoP [mmHg],rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml],Unnamed: 13
0.0,0.0,0.260308,12.58,0.953,30.05,52.017,0.0,0.0,0.0,1.166228,1.087924,0.922934,
0.004672659382168515,0.002479000000000009,0.262787,12.154,0.824,30.05,51.38,0.00173425166985226,-0.000182866325317948,-0.00126126772009156,1.16451,1.088575,0.923894,
0.00934531876433703,0.004958000000000018,0.265266,13.006,0.728,30.05,51.38,0.00323938951377823,-0.00027164351869687,-0.00227080402846161,1.164871,1.088265,0.921801,
0.014017978146505546,0.007437000000000027,0.267745,12.793,0.706,30.05,50.53,0.00409429956814276,-0.000168189835405099,-0.00292947772147681,1.163268,1.090687,0.923274,
0.018692522425560725,0.00991700000000001,0.270225,14.925,0.706,29.557,50.955,0.00432044298118129,0.000138824325900832,-0.00375042668921052,1.161647,1.091274,0.923932,
0.02336518180772924,0.012396000000000018,0.272704,16.844,0.699,29.557,51.592,0.00569077686205368,0.000988434460749555,-0.00426856209320139,1.160968,1.092018,0.924031,
0.028037841189897755,0.014875000000000027,0.275183,18.763,0.688,29.064,52.017,0.00564306618720453,0.00219115628919479,-0.0042836275294115,1.160508,1.093513,0.923631,
0.03271050057206627,0.017354000000000036,0.277662,20.682,0.681,29.064,52.229,0.0053827931927896,0.00388580048357356,-0.00360147916701956,1.161585,1.093505,0.923069,
0.03738315995423468,0.01983299999999999,0.280141,22.175,0.653,28.572,51.804,0.00374438546307503,0.00577735302345904,-0.00405161177399786,1.15924,1.093027,0.92105,
0.0420558193364032,0.022312,0.28262,24.52,0.631,28.572,51.804,0.00254366983349476,0.00705713150992096,-0.00389764064636944,1.157995,1.092608,0.919455,
0.04672847871857171,0.024791000000000007,0.285099,25.16,0.61,28.572,50.955,0.00112843579432426,0.00854583573395154,-0.0031666295283151,1.156718,1.092604,0.918816,
0.05140113810074023,0.027270000000000016,0.287578,29.211,0.613,28.079,51.38,0.000501989246630722,0.0101261238689993,-0.00216087826167881,1.156623,1.092568,0.918884,
0.056075682379795405,0.02975,0.290058,31.77,0.613,27.587,51.592,-0.000412720953605583,0.0119317278181149,-0.00226629326393738,1.15554,1.090745,0.917456,
0.06074834176196392,0.03222900000000001,0.292537,34.968,0.621,26.601,52.229,-0.0012637694471932,0.0134028756554122,-0.00186564253370829,1.155019,1.090577,0.916499,
0.06542100114413243,0.03470800000000002,0.295016,37.313,0.624,26.109,52.229,-0.00194768738161718,0.0146212857537665,-0.00149040619123629,1.156403,1.0907,0.914933,
0.07009366052630095,0.037187000000000026,0.297495,39.659,0.613,25.123,52.017,-0.00223667769834501,0.0151098583152066,-0.000542608097181903,1.153309,1.09139,0.91397,
0.07476631990846946,0.039666000000000035,0.299974,42.217,0.599,24.631,52.229,-0.00302658068670633,0.0161075330261997,-0.000203960779328547,1.153546,1.091109,0.912466,
0.07943897929063798,0.042145000000000044,0.302453,44.776,0.585,23.646,52.654,-0.0037049603107582,0.0166892543020713,4.62519643033704e-05,1.152136,1.091023,0.910443,
0.0841116386728064,0.044624,0.304932,47.974,0.596,22.168,54.352,-0.00366944807939116,0.017174310896555,6.33169098935241e-05,1.150577,1.091061,0.910346,
0.08878429805497491,0.047103000000000006,0.307411,50.32,0.599,21.183,56.051,-0.00432109516292484,0.0172163182383138,-0.000537628554560566,1.147971,1.090615,0.909831,
0.09345884233403019,0.049583000000000044,0.309891,55.011,0.613,20.197,58.386,-0.00480356230018962,0.017024194762117,-0.00175458151049257,1.148911,1.092965,0.909328,
0.09813150171619861,0.052062,0.31237,55.65,0.606,18.72,59.448,-0.00507670925318457,0.016688746752987,-0.00323275438048715,1.145243,1.0927,0.909634,
0.10280416109836713,0.054541000000000006,0.314849,57.356,0.599,17.734,60.934,-0.00560626211950825,0.0160159454433586,-0.00473831782108589,1.142952,1.092454,0.907424,
0.10747682048053564,0.057020000000000015,0.317328,59.062,0.588,16.256,62.208,-0.00614330852545421,0.0147420960476118,-0.00609127135561299,1.142704,1.091953,0.905249,
0.11214947986270415,0.059499000000000024,0.319807,60.768,0.574,15.764,63.057,-0.00599321537871762,0.0134454423331687,-0.00749623738319772,1.142732,1.091344,0.90469,
0.11682213924487267,0.06197800000000003,0.322286,62.473,0.592,14.779,64.755,-0.00497305280809855,0.0120430906282062,-0.00855307447304434,1.142765,1.091224,0.903869,
0.12149479862704118,0.06445700000000004,0.324765,63.753,0.599,13.793,65.817,-0.00376962213784078,0.00980171853481945,-0.00910690740926725,1.139905,1.090835,0.902274,
0.12616934290609635,0.06693700000000002,0.327245,65.458,0.617,13.301,67.516,-0.00217871645786983,0.00846337499313312,-0.0103157846786316,1.138603,1.090318,0.900872,
0.13084200228826487,0.06941600000000003,0.329724,65.245,0.599,13.301,67.94,0.000462752756971355,0.00662145114388931,-0.0113758654607515,1.136591,1.091177,0.900529,
0.13551466167043338,0.07189500000000004,0.332203,65.885,0.592,13.301,68.365,0.00302302993401855,0.00468211507975282,-0.0131023867989842,1.135763,1.091347,0.901014,
0.1401873210526018,0.074374,0.334682,63.966,0.578,13.301,68.365,0.00514669522116382,0.00250687331124136,-0.0142946148094617,1.133777,1.092237,0.899531,
0.1448599804347703,0.076853,0.337161,65.672,0.578,13.301,69.214,0.00667406534717202,0.0002635177374539,-0.0153010177956967,1.131618,1.093037,0.898932,
0.14953263981693882,0.07933200000000001,0.33964,66.098,0.592,13.793,70.063,0.00830198865806297,-0.00185841731723113,-0.0172602707443276,1.129475,1.0928,0.898549,
0.15420529919910736,0.08181100000000002,0.342119,66.525,0.603,14.286,71.125,0.0100651333190782,-0.0042860246884847,-0.019279357856196,1.126593,1.092266,0.896701,
0.15887795858127587,0.08429000000000003,0.344598,66.525,0.606,14.779,71.125,0.0117496603937475,-0.00662653696606872,-0.0213480598966668,1.123718,1.091387,0.895472,
0.16355250286033104,0.08677000000000001,0.347078,66.311,0.596,14.779,71.125,0.0132998152557829,-0.00908980577838598,-0.02372476757318,1.12111,1.09248,0.895621,
0.16822516224249956,0.08924900000000002,0.349557,66.525,0.581,15.764,71.337,0.0147844531747666,-0.0129014805366371,-0.0258463136017186,1.118636,1.093239,0.896591,
0.17289782162466807,0.09172800000000003,0.352036,65.672,0.578,15.764,70.913,0.0158185063277816,-0.016449930754573,-0.0280330186027177,1.115377,1.093912,0.895763,
0.1775704810068366,0.09420700000000004,0.354515,67.164,0.581,16.749,71.549,0.0174672485237806,-0.0188164201550467,-0.0305565768651056,1.111679,1.094436,0.895178,
0.182243140389005,0.096686,0.356994,67.377,0.588,16.749,71.974,0.0191517595019178,-0.0212881987098324,-0.03251770957487,1.10854,1.093887,0.893967,
0.1869157997711735,0.099165,0.359473,69.51,0.606,17.242,72.823,0.021328936491554,-0.0242905864190607,-0.0345429221107289,1.105333,1.095228,0.893368,
0.19158845915334202,0.10164400000000001,0.361952,68.87,0.61,17.734,72.399,0.0236847992226385,-0.0273163577157337,-0.0367113093042585,1.102206,1.093293,0.892856,
0.19626111853551054,0.10412300000000002,0.364431,68.657,0.596,18.227,72.399,0.0256281833474129,-0.0301633209263763,-0.0386411785330047,1.100675,1.093075,0.892911,
0.20093566281456574,0.106603,0.366911,68.657,0.578,18.72,71.974,0.0275355313936504,-0.0335007092666735,-0.0394797664535797,1.099974,1.090652,0.891569,
0.20560832219673425,0.10908200000000001,0.36939,69.083,0.567,19.212,72.186,0.0289577681639959,-0.0367624844983121,-0.0408953975939404,1.096668,1.092276,0.890915,
0.21028098157890276,0.11156100000000002,0.371869,69.51,0.588,19.705,72.399,0.0306152096325226,-0.0400428999625029,-0.0424016007873468,1.094721,1.092227,0.890392,
0.21495364096107128,0.11404000000000003,0.374348,69.723,0.592,20.69,72.399,0.0317581762024063,-0.0432883613331115,-0.0437583947494205,1.090803,1.093384,0.889734,
