cardiac cycle [%],t abs [s],t [s],LVP [mmHg],ECG [mV],LAD Flow [ml/s],AoP [mmHg],rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml],Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255,Unnamed: 256,Unnamed: 257,Unnamed: 258,Unnamed: 259,Unnamed: 260,Unnamed: 261,Unnamed: 262,Unnamed: 263,Unnamed: 264,Unnamed: 265,Unnamed: 266,Unnamed: 267,Unnamed: 268,Unnamed: 269,Unnamed: 270,Unnamed: 271,Unnamed: 272,Unnamed: 273,Unnamed: 274
0.0,0.0,0.236111,13.646,1.031,7.882,45.647,0.0,0.0,0.0,1.194786,1.050235,0.885031,,,,,,,,,,,,,,,,,,,,,,,,,0.233984,5.92,13.575,13.245,14.529,14.609,17.621,16.82,27.442,29.601,29.077,27.735,38.97,38.143,37.981,36.185,63.977,48.255,44.852,47.496,41.34,37.822,14.68,9.909,15.719,13.746,19.284,15.705,26.746,27.06,29.18,25.912,37.322,35.64,36.75,34.08,58.661,46.741,41.694,46.562,44.515,40.636,10.185,20.867,21.614,15.37,18.08,32.568,34.95,28.309,28.772,42.909,42.855,37.663,36.626,66.318,38.598,53.85,49.409,38.514,43.613,20.978,19.131,19.415,16.648,30.718,30.384,29.468,26.353,39.981,38.421,36.597,33.925,57.623,39.698,47.172,48.162,45.102,46.349,5.342,11.26,8.926,13.789,18.93,16.721,16.514,25.917,26.627,25.418,24.589,59.462,43.401,37.734,33.585,31.938,25.671,14.29,7.899,13.082,15.507,18.237,14.866,24.384,23.835,25.063,22.945,54.626,43.3,33.859,33.413,36.471,29.374,9.424,20.266,25.561,13.983,17.759,30.609,32.367,24.809,25.371,63.278,34.838,47.048,35.533,26.037,30.097,15.019,17.506,13.76,11.385,24.85,25.041,21.452,19.808,54.339,35.541,38.752,32.21,33.263,32.051,9.267,13.631,10.467,12.316,14.15,15.965,14.857,51.893,42.967,29.586,20.928,33.722,23.454,19.608,11.351,11.6,8.606,18.126,13.834,42.942,43.666,23.02,22.999,42.182,32.125,10.023,19.589,23.225,11.499,14.122,57.373,31.641,42.214,21.992,24.14,26.462,15.01,15.967,11.125,8.493,47.919,33.233,34.284,21.88,34.098,31.607,6.614,13.158,11.474,45.52,43.827,26.909,11.879,39.81,29.841,17.346,13.319,39.986,45.553,21.562,17.777,45.098,34.342,6.2,50.003,31.567,38.742,13.172,31.997,31.889,44.397,32.601,34.277,15.926,36.987,34.77,60.868,38.132,51.989,81.213,74.14,64.83,42.756,41.786,56.996,37.255,62.908,45.49,36.969,30.985,26.164,13.433,0.985,8.375,46.072,194.214,0.0
0.003999766821304292,0.0021270000000000178,0.238238,13.859,1.006,7.882,45.647,0.00070476385814765,-0.000396680874253732,-0.000529492061676561,1.194809,1.050473,0.886288,,,,,,,,,,,,,,,,,,,,,,,,,0.236111,5.901,13.572,13.251,14.53,14.609,17.623,16.832,27.43,29.563,29.08,27.712,38.948,38.122,37.961,36.14,63.999,48.221,44.818,47.485,41.334,37.843,14.667,9.909,15.699,13.729,19.262,15.688,26.724,27.014,29.161,25.872,37.291,35.607,36.711,34.019,58.696,46.696,41.67,46.543,44.481,40.638,10.207,20.866,21.615,15.381,18.097,32.567,34.921,28.318,28.756,42.913,42.83,37.655,36.6,66.363,38.565,53.846,49.422,38.487,43.63,20.969,19.116,19.417,16.629,30.701,30.328,29.455,26.306,39.957,38.364,36.555,33.861,57.64,39.648,47.146,48.155,45.08,46.364,5.347,11.248,8.945,13.776,18.901,16.721,16.501,25.896,26.616,25.401,24.552,59.47,43.378,37.725,33.567,31.938,25.692,14.283,7.899,13.073,15.47,18.235,14.844,24.361,23.817,25.039,22.897,54.631,43.277,33.849,33.399,36.473,29.399,9.449,20.252,25.528,13.982,17.743,30.601,32.337,24.795,25.343,63.292,34.818,47.045,35.526,26.018,30.104,15.017,17.458,13.766,11.347,24.835,24.996,21.424,19.753,54.324,35.513,38.745,32.208,33.278,32.091,9.276,13.633,10.494,12.308,14.168,15.967,14.85,51.9,42.98,29.609,20.92,33.73,23.456,19.593,11.339,11.608,8.623,18.11,13.799,42.943,43.659,23.068,23.021,42.184,32.144,10.028,19.598,23.198,11.49,14.112,57.365,31.637,42.239,21.992,24.146,26.481,15.046,15.945,11.125,8.473,47.915,33.229,34.322,21.923,34.108,31.641,6.614,13.189,11.512,45.503,43.887,26.927,11.903,39.838,29.828,17.3,13.256,39.931,45.52,21.649,17.787,45.11,34.385,6.21,49.966,31.584,38.776,13.223,32.02,31.911,44.366,32.629,34.304,16.001,37.006,34.785,60.915,38.176,51.992,81.209,74.134,64.895,42.842,41.74,57.007,37.3,62.944,45.495,36.976,30.932,26.21,13.646,1.031,7.882,45.647,256.063,0.0
0.007999533642608532,0.004254000000000008,0.240365,13.859,0.971,7.882,45.435,0.00198172339299779,-0.000663566405051016,-0.00102618127786352,1.195396,1.049951,0.885905,,,,,,,,,,,,,,,,,,,,,,,,,0.238238,5.869,13.569,13.256,14.532,14.612,17.628,16.823,27.422,29.534,29.081,27.696,38.933,38.087,37.947,36.107,63.916,48.216,44.797,47.498,41.347,37.882,14.663,9.922,15.686,13.723,19.25,15.675,26.713,26.993,29.154,25.856,37.279,35.581,36.696,33.99,58.641,46.693,41.667,46.555,44.471,40.657,10.238,20.864,21.608,15.375,18.096,32.561,34.9,28.317,28.744,42.911,42.802,37.647,36.578,66.312,38.569,53.842,49.438,38.477,43.647,20.967,19.096,19.415,16.61,30.684,30.286,29.444,26.269,39.933,38.315,36.526,33.812,57.552,39.63,47.125,48.155,45.082,46.394,5.354,11.253,8.946,13.766,18.876,16.722,16.497,25.882,26.583,25.389,24.526,59.391,43.379,37.704,33.578,31.948,25.726,14.275,7.875,13.064,15.438,18.223,14.819,24.341,23.778,25.011,22.852,54.539,43.253,33.836,33.405,36.48,29.447,9.452,20.244,25.502,13.98,17.732,30.596,32.302,24.783,25.317,63.218,34.813,47.031,35.537,26.022,30.13,15.016,17.433,13.776,11.338,24.834,24.964,21.418,19.729,54.248,35.515,38.732,32.23,33.29,32.127,9.271,13.631,10.509,12.302,14.149,15.959,14.838,51.829,42.979,29.598,20.938,33.733,23.483,19.579,11.327,11.61,8.617,18.093,13.777,42.877,43.642,23.079,23.047,42.177,32.171,10.038,19.603,23.17,11.484,14.099,57.296,31.637,42.23,22.005,24.147,26.498,15.066,15.925,11.126,8.456,47.838,33.219,34.321,21.961,34.119,31.681,6.598,13.201,11.534,45.434,43.904,26.901,11.935,39.846,29.836,17.269,13.231,39.867,45.495,21.662,17.801,45.091,34.396,6.212,49.892,31.586,38.761,13.247,32.024,31.923,44.298,32.626,34.295,16.044,37.003,34.799,60.87,38.134,51.94,81.141,74.084,64.896,42.857,41.733,57.019,37.301,62.934,45.498,36.981,30.936,26.214,13.859,1.006,7.882,45.647,315.117,0.0
0.011999300463912822,0.0063810000000000255,0.242492,14.712,0.881,7.882,45.01,0.00334584813022879,-0.00131333319452636,-0.00106613321212755,1.194815,1.049491,0.88653,,,,,,,,,,,,,,,,,,,,,,,,,0.240365,5.843,13.563,13.262,14.524,14.61,17.628,16.825,27.41,29.503,29.079,27.674,38.905,38.04,37.924,36.069,63.83,48.201,44.784,47.518,41.368,37.917,14.666,9.944,15.665,13.708,19.236,15.674,26.693,26.962,29.143,25.83,37.25,35.538,36.668,33.951,58.576,46.681,41.665,46.572,44.472,40.674,10.261,20.858,21.611,15.382,18.103,32.564,34.889,28.329,28.74,42.912,42.778,37.65,36.567,66.271,38.581,53.856,49.48,38.482,43.668,20.955,19.081,19.404,16.594,30.665,30.245,29.428,26.227,39.908,38.264,36.491,33.759,57.475,39.597,47.128,48.169,45.086,46.421,5.365,11.242,8.955,13.766,18.862,16.723,16.492,25.863,26.546,25.372,24.5,59.304,43.36,37.698,33.604,31.968,25.766,14.267,7.88,13.055,15.409,18.217,14.797,24.313,23.731,24.982,22.811,54.44,43.225,33.829,33.426,36.503,29.495,9.437,20.235,25.476,13.977,17.716,30.578,32.255,24.766,25.287,63.132,34.8,47.019,35.557,26.039,30.153,15.02,17.419,13.769,11.32,24.827,24.932,21.396,19.697,54.17,35.483,38.746,32.26,33.301,32.166,9.265,13.632,10.522,12.28,14.109,15.943,14.821,51.729,42.963,29.581,20.966,33.76,23.522,19.566,11.317,11.613,8.603,18.072,13.753,42.783,43.612,23.094,23.089,42.192,32.212,10.045,19.597,23.13,11.472,14.085,57.206,31.623,42.22,22.029,24.167,26.521,15.088,15.902,11.126,8.44,47.745,33.194,34.328,22.019,34.147,31.729,6.583,13.205,11.561,45.351,43.91,26.874,11.977,39.86,29.836,17.23,13.205,39.79,45.459,21.676,17.823,45.078,34.398,6.216,49.794,31.58,38.741,13.287,32.044,31.936,44.204,32.61,34.287,16.108,37.021,34.822,60.812,38.084,51.866,81.071,74.016,64.895,42.875,41.723,57.021,37.299,62.939,45.499,37.005,30.944,26.227,13.859,0.971,7.882,45.435,373.518,0.001
0.015999067285217064,0.008508000000000016,0.244619,15.565,0.767,7.882,45.647,0.0052779564451086,-0.00202007615852623,-0.00105864432827659,1.196046,1.049039,0.88768,,,,,,,,,,,,,,,,,,,,,,,,,0.242492,5.824,13.554,13.261,14.523,14.612,17.619,16.823,27.398,29.481,29.079,27.657,38.877,37.995,37.902,36.034,63.755,48.189,44.755,47.543,41.388,37.965,14.666,9.961,15.647,13.696,19.221,15.668,26.673,26.935,29.139,25.813,37.222,35.493,36.646,33.917,58.517,46.679,41.641,46.594,44.481,40.707,10.27,20.852,21.61,15.38,18.096,32.553,34.868,28.33,28.728,42.894,42.741,37.639,36.541,66.216,38.583,53.835,49.511,38.49,43.701,20.941,19.066,19.393,16.571,30.64,30.205,29.415,26.195,39.876,38.213,36.459,33.712,57.404,39.576,47.104,48.186,45.094,46.459,5.37,11.231,8.959,13.754,18.844,16.724,16.476,25.83,26.496,25.347,24.464,59.212,43.347,37.658,33.626,31.999,25.822,14.264,7.887,13.045,15.384,18.223,14.78,24.283,23.681,24.957,22.773,54.344,43.212,33.79,33.451,36.539,29.558,9.433,20.221,25.457,13.978,17.702,30.553,32.212,24.752,25.26,63.053,34.803,46.98,35.582,26.063,30.185,15.021,17.407,13.776,11.307,24.815,24.899,21.381,19.667,54.089,35.465,38.727,32.296,33.329,32.226,9.27,13.635,10.522,12.256,14.07,15.924,14.799,51.634,42.951,29.544,20.998,33.793,23.578,19.57,11.313,11.62,8.583,18.06,13.734,42.686,43.59,23.077,23.138,42.225,32.276,10.05,19.586,23.105,11.46,14.07,57.125,31.612,42.194,22.057,24.19,26.557,15.091,15.883,11.121,8.422,47.665,33.181,34.31,22.068,34.174,31.777,6.581,13.199,11.572,45.275,43.909,26.84,12.016,39.874,29.845,17.208,13.192,39.719,45.441,21.657,17.858,45.081,34.412,6.218,49.709,31.582,38.703,13.324,32.067,31.953,44.124,32.602,34.26,16.165,37.039,34.849,60.758,38.04,51.798,81.013,73.966,64.876,42.896,41.724,57.039,37.284,62.929,45.492,37.038,30.961,26.245,14.712,0.881,7.882,45.01,429.185,0.001
0.019998834106521302,0.010635000000000006,0.246746,17.058,0.738,7.882,45.647,0.00764211009166007,-0.00251834379222181,-0.000260743274831323,1.197204,1.050079,0.887419,,,,,,,,,,,,,,,,,,,,,,,,,0.244619,5.807,13.541,13.243,14.526,14.626,17.618,16.851,27.392,29.478,29.083,27.637,38.865,37.959,37.879,36.006,63.681,48.177,44.719,47.587,41.421,38.016,14.674,9.969,15.619,13.68,19.205,15.671,26.638,26.908,29.121,25.771,37.192,35.441,36.604,33.87,58.45,46.665,41.598,46.619,44.493,40.729,10.276,20.844,21.62,15.386,18.123,32.545,34.87,28.339,28.722,42.893,42.722,37.628,36.527,66.18,38.598,53.814,49.562,38.495,43.723,20.914,19.051,19.375,16.555,30.605,30.176,29.394,26.149,39.854,38.172,36.417,33.663,57.355,39.553,47.081,48.215,45.091,46.48,5.375,11.216,8.981,13.748,18.849,16.719,16.462,25.81,26.455,25.319,24.437,59.114,43.328,37.61,33.662,32.038,25.874,14.261,7.899,13.023,15.372,18.214,14.749,24.256,23.628,24.921,22.732,54.24,43.189,33.74,33.482,36.579,29.611,9.456,20.207,25.455,13.982,17.701,30.534,32.177,24.731,25.241,62.972,34.808,46.934,35.618,26.084,30.202,15.001,17.385,13.766,11.262,24.787,24.847,21.333,19.61,53.974,35.428,38.683,32.324,33.373,32.285,9.28,13.625,10.515,12.236,14.026,15.899,14.776,51.509,42.923,29.492,21.043,33.844,23.643,19.57,11.297,11.635,8.553,18.045,13.709,42.553,43.557,23.047,23.199,42.282,32.353,10.07,19.566,23.075,11.435,14.057,57.019,31.603,42.146,22.089,24.23,26.582,15.106,15.864,11.128,8.412,47.548,33.167,34.269,22.147,34.234,31.837,6.59,13.195,11.594,45.179,43.899,26.807,12.058,39.895,29.851,17.196,13.19,39.626,45.423,21.626,17.909,45.099,34.421,6.228,49.599,31.567,38.662,13.384,32.094,31.968,44.009,32.578,34.229,16.247,37.077,34.885,60.682,37.995,51.708,80.943,73.891,64.846,42.915,41.723,57.046,37.275,62.919,45.471,37.081,30.978,26.271,15.565,0.767,7.882,45.647,487.382,0.001
0.024000481401178348,0.012763000000000024,0.248874,18.977,0.717,7.882,45.647,0.00930273017217271,-0.00308786109805106,2.33712314491058e-05,1.198223,1.049208,0.887464,,,,,,,,,,,,,,,,,,,,,,,,,0.246746,5.831,13.523,13.232,14.518,14.639,17.598,16.846,27.379,29.488,29.074,27.637,38.836,37.926,37.86,35.99,63.694,48.174,44.699,47.625,41.437,38.054,14.692,9.958,15.603,13.67,19.198,15.658,26.617,26.896,29.113,25.757,37.155,35.393,36.586,33.846,58.445,46.662,41.565,46.657,44.529,40.78,10.304,20.841,21.632,15.378,18.129,32.537,34.888,28.34,28.743,42.881,42.71,37.626,36.535,66.235,38.632,53.808,49.615,38.489,43.741,20.887,19.027,19.357,16.528,30.579,30.158,29.374,26.133,39.822,38.133,36.401,33.644,57.383,39.555,47.065,48.256,45.102,46.514,5.381,11.217,8.98,13.727,18.848,16.723,16.457,25.767,26.404,25.292,24.408,59.063,43.324,37.543,33.693,32.107,25.946,14.27,7.9,13.009,15.361,18.217,14.734,24.215,23.573,24.899,22.7,54.184,43.176,33.682,33.519,36.652,29.698,9.458,20.19,25.464,13.984,17.715,30.506,32.148,24.71,25.229,62.956,34.822,46.888,35.654,26.122,30.236,14.999,17.393,13.771,11.269,24.77,24.822,21.326,19.599,53.952,35.419,38.655,32.38,33.428,32.357,9.312,13.619,10.512,12.212,14.003,15.884,14.757,51.456,42.904,29.446,21.089,33.903,23.719,19.583,11.285,11.631,8.515,18.058,13.693,42.469,43.533,23.009,23.267,42.368,32.464,10.087,19.546,23.058,11.4,14.038,56.971,31.589,42.103,22.126,24.292,26.641,15.087,15.834,11.136,8.394,47.489,33.16,34.225,22.209,34.312,31.918,6.601,13.202,11.588,45.122,43.883,26.762,12.121,39.94,29.891,17.216,13.187,39.566,45.407,21.584,17.982,45.151,34.475,6.254,49.579,31.556,38.642,13.439,32.113,31.988,43.966,32.568,34.198,16.313,37.124,34.933,60.665,37.993,51.677,80.954,73.896,64.822,42.941,41.738,57.077,37.266,62.925,45.465,37.137,31.009,26.309,17.058,0.738,7.882,45.647,559.185,0.001
0.028000248222482534,0.014889999999999987,0.251001,20.469,0.706,7.882,46.496,0.0109184997230282,-0.00319930305277907,0.000606693836807898,1.200614,1.050173,0.88655,,,,,,,,,,,,,,,,,,,,,,,,,0.248874,5.836,13.529,13.217,14.504,14.667,17.583,16.872,27.369,29.511,29.064,27.65,38.825,37.901,37.843,35.99,63.572,48.153,44.662,47.674,41.461,38.06,14.718,9.965,15.564,13.657,19.189,15.668,26.587,26.893,29.103,25.759,37.131,35.371,36.573,33.844,58.323,46.653,41.525,46.706,44.562,40.788,10.294,20.851,21.646,15.388,18.168,32.544,34.911,28.358,28.774,42.884,42.722,37.63,36.555,66.133,38.62,53.8,49.685,38.518,43.762,20.842,18.984,19.331,16.517,30.545,30.145,29.364,26.131,39.801,38.143,36.392,33.646,57.296,39.538,47.063,48.313,45.116,46.518,5.394,11.222,8.985,13.716,18.858,16.714,16.456,25.742,26.332,25.261,24.384,58.851,43.295,37.451,33.734,32.19,26.01,14.268,7.868,12.984,15.346,18.188,14.694,24.175,23.499,24.848,22.646,53.951,43.106,33.612,33.55,36.727,29.789,9.489,20.188,25.483,13.986,17.739,30.491,32.118,24.687,25.228,62.791,34.809,46.835,35.698,26.168,30.254,14.975,17.378,13.768,11.255,24.734,24.783,21.293,19.569,53.749,35.381,38.603,32.421,33.502,32.419,9.333,13.609,10.498,12.195,13.908,15.86,14.726,51.215,42.873,29.36,21.144,33.993,23.826,19.597,11.268,11.637,8.487,18.067,13.671,42.205,43.489,22.977,23.35,42.47,32.6,10.114,19.523,23.023,11.369,14.035,56.782,31.593,42.044,22.162,24.348,26.666,15.063,15.822,11.138,8.377,47.271,33.141,34.187,22.277,34.399,32.001,6.534,13.194,11.56,44.891,43.853,26.723,12.189,39.998,29.972,17.237,13.215,39.446,45.442,21.55,18.019,45.159,34.448,6.279,49.417,31.554,38.63,13.498,32.128,32.007,43.773,32.562,34.186,16.38,37.176,34.985,60.541,37.948,51.518,80.817,73.754,64.823,42.979,41.75,57.095,37.267,62.905,45.414,37.184,31.057,26.333,18.977,0.717,7.882,45.647,637.923,0.002
0.03200001504378688,0.017017000000000032,0.253128,21.962,0.692,7.882,46.496,0.0110396382762918,-0.00254881063620993,0.00138773013754408,1.201933,1.048694,0.886387,,,,,,,,,,,,,,,,,,,,,,,,,0.251001,5.849,13.533,13.201,14.492,14.71,17.574,16.908,27.363,29.532,29.07,27.672,38.807,37.891,37.841,36.005,63.534,48.137,44.641,47.71,41.487,38.098,14.733,9.939,15.539,13.659,19.175,15.67,26.57,26.898,29.106,25.767,37.11,35.354,36.568,33.854,58.274,46.632,41.499,46.741,44.598,40.833,10.319,20.843,21.689,15.393,18.229,32.548,34.949,28.379,28.821,42.882,42.734,37.648,36.592,66.119,38.622,53.798,49.741,38.543,43.806,20.796,18.956,19.313,16.507,30.517,30.143,29.369,26.143,39.779,38.128,36.398,33.667,57.262,39.543,47.033,48.354,45.15,46.552,5.447,11.203,8.995,13.71,18.868,16.71,16.454,25.71,26.302,25.238,24.368,58.761,43.243,37.411,33.763,32.248,26.093,14.298,7.853,12.957,15.304,18.198,14.662,24.116,23.427,24.815,22.606,53.804,43.057,33.528,33.564,36.827,29.898,9.548,20.17,25.494,13.987,17.758,30.454,32.092,24.669,25.22,62.715,34.778,46.792,35.725,26.224,30.305,14.941,17.342,13.791,11.232,24.675,24.719,21.268,19.535,53.61,35.345,38.523,32.441,33.612,32.514,9.349,13.601,10.473,12.165,13.879,15.836,14.698,51.123,42.82,29.326,21.178,34.053,23.908,19.626,11.261,11.641,8.464,18.086,13.682,42.101,43.466,22.934,23.403,42.555,32.689,10.149,19.494,23.013,11.351,14.028,56.718,31.562,42.019,22.19,24.399,26.711,15.023,15.785,11.14,8.366,47.172,33.122,34.139,22.312,34.485,32.072,6.545,13.176,11.533,44.838,43.81,26.716,12.222,40.021,29.994,17.241,13.211,39.387,45.416,21.53,18.057,45.2,34.48,6.278,49.37,31.532,38.614,13.532,32.16,32.028,43.72,32.543,34.171,16.402,37.217,35.016,60.489,37.914,51.476,80.804,73.731,64.785,42.981,41.758,57.102,37.27,62.922,45.419,37.237,31.087,26.363,20.469,0.706,7.882,46.496,721.272,0.002
0.03599978186509112,0.019144000000000022,0.255255,23.454,0.674,7.882,46.496,0.00987120013028629,-0.00196356132123893,0.00322953923763951,1.201888,1.048307,0.88768,,,,,,,,,,,,,,,,,,,,,,,,,0.253128,5.89,13.524,13.186,14.512,14.785,17.571,16.95,27.392,29.6,29.098,27.728,38.851,37.925,37.874,36.083,63.518,48.104,44.575,47.817,41.494,38.104,14.767,9.947,15.516,13.676,19.182,15.692,26.549,26.896,29.132,25.796,37.127,35.352,36.595,33.917,58.218,46.615,41.389,46.83,44.642,40.844,10.291,20.855,21.721,15.411,18.261,32.563,34.959,28.41,28.859,42.891,42.747,37.668,36.652,66.08,38.581,53.715,49.825,38.55,43.813,20.745,18.939,19.278,16.502,30.481,30.107,29.376,26.156,39.788,38.139,36.418,33.73,57.252,39.505,46.966,48.433,45.149,46.541,5.437,11.199,8.964,13.704,18.895,16.707,16.443,25.679,26.244,25.21,24.358,58.606,43.186,37.24,33.821,32.346,26.155,14.294,7.828,12.916,15.301,18.188,14.636,24.087,23.37,24.786,22.597,53.652,42.988,33.377,33.615,36.915,29.962,9.542,20.178,25.51,13.987,17.768,30.413,32.057,24.643,25.224,62.605,34.738,46.652,35.771,26.277,30.309,14.917,17.332,13.803,11.24,24.656,24.696,21.266,19.561,53.504,35.304,38.404,32.507,33.688,32.55,9.39,13.627,10.447,12.131,13.785,15.831,14.664,50.914,42.784,29.135,21.269,34.234,24.058,19.673,11.234,11.738,8.461,18.125,13.68,41.845,43.375,22.84,23.55,42.749,32.91,10.183,19.442,22.991,11.32,14.021,56.615,31.553,41.903,22.228,24.494,26.728,14.998,15.76,11.158,8.382,47.033,33.093,34.033,22.386,34.614,32.15,6.578,13.136,11.48,44.744,43.76,26.69,12.26,40.092,30.044,17.262,13.218,39.288,45.409,21.461,18.131,45.293,34.521,6.275,49.307,31.535,38.559,13.573,32.231,32.041,43.639,32.541,34.121,16.416,37.305,35.049,60.431,37.916,51.399,80.804,73.674,64.714,43.006,41.792,57.103,37.266,62.892,45.335,37.37,31.175,26.402,21.962,0.692,7.882,46.496,799.5,0.002
