cardiac cycle [%],t abs [s],t [s],LVP [mmHg],ECG [mV],LAD Flow [ml/s],AoP [mmHg],rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml],Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0.0,0.0,0.067031,6.824,0.267,28.572,44.586,0.0,0.0,0.0,1.088548,1.231707,0.935536,,,,
0.01219490008296098,0.006703000000000001,0.073734,8.316,0.753,27.587,44.798,-0.00138431933474716,-0.0033288169178488,-0.00145609635241698,1.079203,1.227836,0.931618,,,,
0.02438980016592196,0.013406000000000001,0.080437,11.088,0.585,27.587,44.586,-0.00408651075420124,-0.00601873573917937,-0.00319219200057353,1.073164,1.219169,0.922789,,,,
0.03658651956860291,0.020110000000000003,0.087141,17.271,0.763,27.094,44.161,-0.00699778598573133,-0.00951821206948781,-0.00483388314954882,1.067163,1.208739,0.919252,,,,
0.04878141965156389,0.026813000000000003,0.093844,21.749,0.667,24.138,44.586,-0.0101336138513731,-0.0122018561295353,-0.006007599857076,1.065665,1.204807,0.917601,,,,
0.06097631973452487,0.033516000000000004,0.100547,27.506,0.717,22.168,45.01,-0.013455915670176,-0.0128692057900679,-0.00895610779757225,1.060594,1.202011,0.918735,,,,
0.07317121981748585,0.040219000000000005,0.10725,33.476,0.763,18.227,45.859,-0.0172079065319923,-0.0134682953465997,-0.010299152348469,1.056943,1.201082,0.92004,,,,
0.08536611990044683,0.046922000000000005,0.113953,39.446,0.617,13.301,46.496,-0.0209271107765749,-0.0141736843884844,-0.011384310680553,1.053014,1.198232,0.920215,,,,
0.09756101998340781,0.053625000000000006,0.120656,45.203,0.785,8.375,47.558,-0.0219304426842539,-0.0156221005119222,-0.0130012495342917,1.051509,1.192899,0.919202,,,,
0.10975592006636879,0.06032800000000001,0.127359,50.107,0.667,9.853,50.318,-0.0209473346516722,-0.0199696417407687,-0.0147177274736408,1.048611,1.187706,0.917471,,,,
0.12195082014932974,0.067031,0.134062,53.732,0.71,14.286,53.927,-0.0169295061807971,-0.0270365225263864,-0.0164649844611566,1.042962,1.182168,0.914903,,,,
0.13414753955201072,0.07373500000000001,0.140766,56.717,0.742,20.197,57.749,-0.0129136497328355,-0.0330742693448557,-0.0169257439768128,1.034263,1.176565,0.911686,,,,
0.14634243963497168,0.080438,0.147469,58.423,0.621,24.631,60.085,-0.00846846024719322,-0.0376855939812805,-0.0176037803629518,1.029021,1.168568,0.909337,,,,
0.15853733971793268,0.08714100000000001,0.154172,59.276,0.792,30.05,61.571,-0.00363162436068952,-0.0427916312862234,-0.0183911709790384,1.022609,1.163452,0.906382,,,,
0.17073223980089364,0.093844,0.160875,60.129,0.631,32.02,63.482,0.00476197184316285,-0.0492711692003999,-0.0193294800757981,1.016188,1.156838,0.902723,,,,
0.18292713988385464,0.10054700000000001,0.167578,60.768,0.696,31.035,64.755,0.0124985039499733,-0.0562510679880561,-0.018206767112297,1.007961,1.148452,0.897708,,,,
0.1951220399668156,0.10725,0.174281,61.195,0.742,29.064,66.242,0.0221787545222234,-0.0638029626031082,-0.0176348853521777,1.001631,1.141857,0.894267,,,,
0.2073169400497766,0.11395300000000001,0.180984,61.195,0.606,27.094,67.303,0.029424838951907,-0.0708648161691569,-0.0202844861449499,0.995557,1.134418,0.889968,,,,
0.21951365945245752,0.120657,0.187688,60.981,0.778,24.631,67.303,0.0395807755773561,-0.0790012012701175,-0.0203397667881688,0.989167,1.129409,0.886535,,,,
0.23170855953541855,0.12736000000000003,0.194391,61.195,0.61,23.646,67.516,0.0495748355668837,-0.0831990795181956,-0.0206076979354213,0.982599,1.121406,0.882742,,,,
0.2439034596183795,0.13406300000000002,0.201094,60.768,0.685,21.183,67.516,0.0592827134462383,-0.0907277398096568,-0.0218911184633497,0.97608,1.113689,0.878947,,,,
0.25609835970134054,0.14076600000000003,0.207797,60.342,0.706,20.197,67.303,0.0675132159183886,-0.0967468972757777,-0.0240063360765618,0.971997,1.105931,0.876471,,,,
0.26829325978430146,0.14746900000000002,0.2145,59.702,0.603,18.72,67.091,0.075987603777368,-0.101309244425316,-0.0256391680971922,0.966684,1.100149,0.874798,,,,
0.2804881598672625,0.15417200000000003,0.221203,58.849,0.771,18.72,66.879,0.0836197027712558,-0.10564601190084,-0.0275274971129085,0.960961,1.094797,0.872503,,,,
0.2926830599502234,0.16087500000000002,0.227906,58.423,0.606,17.734,67.516,0.0912921617737951,-0.109945445969725,-0.0297225811280959,0.955881,1.088438,0.871148,,,,
0.30487796003318446,0.16757800000000003,0.234609,57.783,0.713,16.749,66.879,0.0995400653290119,-0.11339999935849,-0.0315829893319345,0.951811,1.084273,0.868651,,,,
0.3170728601161454,0.17428100000000002,0.241312,57.357,0.721,16.749,67.091,0.108028400218726,-0.116731433098181,-0.0326225672036999,0.949068,1.079478,0.867108,,,,
0.3292695795188263,0.180985,0.248016,56.504,0.606,15.271,66.242,0.117640927863286,-0.12015782040803,-0.0331297460080656,0.945527,1.075168,0.865354,,,,
0.3414644796017873,0.187688,0.254719,56.077,0.703,16.256,65.605,0.126506420136551,-0.123113959084145,-0.0332206821027885,0.944116,1.071918,0.864486,,,,
0.35365937968474825,0.194391,0.261422,55.864,0.513,16.749,65.605,0.134171156074123,-0.126497931616421,-0.0334577869929569,0.942738,1.067903,0.862948,,,,
0.3658542797677093,0.20109400000000002,0.268125,55.438,0.596,15.764,65.18,0.140937441248042,-0.12896941082915,-0.0333439801652806,0.940967,1.064921,0.86179,,,,
0.37804917985067027,0.20779700000000004,0.274828,55.225,0.606,16.749,64.543,0.146305606426318,-0.131446926661674,-0.0343064187840693,0.938603,1.061244,0.860996,,,,
0.3902440799336312,0.2145,0.281531,54.372,0.524,14.779,63.694,0.151600493707439,-0.1337288544426,-0.0356160471493092,0.935183,1.057373,0.859441,,,,
0.4024389800165922,0.221203,0.288234,53.732,0.685,14.286,63.057,0.157515557813239,-0.136638046905919,-0.0365353101115575,0.93456,1.054618,0.858754,,,,
0.4146338800995532,0.22790600000000003,0.294937,53.092,0.535,13.793,62.845,0.162061404040455,-0.139191730893461,-0.0374669616363335,0.932782,1.050068,0.858485,,,,
0.4268305995022341,0.23461,0.301641,52.239,0.617,12.808,62.208,0.166414236487333,-0.141537221122822,-0.0377421780312997,0.93179,1.047182,0.857588,,,,
0.4390254995851951,0.24131300000000003,0.308344,51.173,0.603,12.316,61.358,0.170365022725241,-0.143303013089409,-0.0381499343648143,0.931428,1.044956,0.856219,,,,
0.45122039966815614,0.24801600000000004,0.315047,49.681,0.528,11.33,60.297,0.173928936440847,-0.145058589382093,-0.0392697596337426,0.928915,1.041072,0.855767,,,,
0.46341529975111706,0.25471900000000003,0.32175,48.402,0.678,9.853,59.448,0.177796132999627,-0.146486982578325,-0.0397531626260801,0.92797,1.039301,0.853941,,,,
0.4756101998340781,0.26142200000000004,0.328453,47.122,0.513,7.882,58.598,0.180926749677298,-0.147363888797872,-0.0420280019626163,0.927127,1.037055,0.852984,,,,
0.4878050999170391,0.26812500000000006,0.335156,45.203,0.635,7.389,57.324,0.18378361985526,-0.147671011020805,-0.0435753227058036,0.927224,1.035494,0.852434,,,,
0.5000000000000001,0.27482800000000007,0.341859,42.645,0.606,5.912,56.051,0.185092214742224,-0.147359276680422,-0.045852590462658,0.927233,1.034672,0.85076,,,,
0.512194900082961,0.28153100000000003,0.348562,39.659,0.513,4.926,54.14,0.185540685023115,-0.146637127138898,-0.0477214267129379,0.928813,1.036349,0.849812,,,,
0.5243916194856421,0.2882350000000001,0.355266,36.035,0.667,1.971,52.441,0.185128757327817,-0.142526720199941,-0.0498040663782457,0.931117,1.037346,0.852125,,,,
0.5365865195686029,0.29493800000000003,0.361969,32.41,0.506,0.0,50.318,0.184040430054879,-0.138858194649814,-0.0526071640161192,0.93381,1.039289,0.85296,3.4784670171534557,-0.1421508284430269,,
0.5487814196515639,0.30164100000000005,0.368672,27.719,0.638,-3.448,47.346,0.182473805309849,-0.135262094680337,-0.0546766809766593,0.937282,1.041345,0.85563,3.322118098634908,,,
0.560976319734525,0.30834400000000006,0.375375,20.043,0.606,-7.881,44.373,0.180693493015585,-0.132785426673377,-0.0556619386474473,0.938802,1.043736,0.856839,2.99787996561145,,,
0.5731712198174859,0.315047,0.382078,16.205,0.542,-9.852,41.401,0.179492915337092,-0.131698000653934,-0.0580455525001804,0.941603,1.045755,0.859195,2.785319836593511,,,
0.5853661199004468,0.32175000000000004,0.388781,14.926,0.674,-1.478,41.826,0.178047116988993,-0.131289170034902,-0.061227215932498,0.946392,1.047389,0.86012,2.703104658709196,,,
0.5975610199834078,0.32845300000000005,0.395484,12.581,0.496,20.69,46.072,0.17758722095682,-0.13123509438069,-0.0634158788592316,0.94593,1.04648,0.860088,2.532187739368994,,,
0.6097559200663689,0.33515600000000006,0.402187,10.022,0.656,32.513,47.133,0.176586269767502,-0.132471540536638,-0.0650877331134364,0.943294,1.044599,0.86018,2.304782676537533,,,
0.6219526394690498,0.34186000000000005,0.408891,8.316,0.613,38.917,47.558,0.173858943590768,-0.134662937700821,-0.0660727971387509,0.944954,1.044259,0.860333,2.118181369995767,,,
0.6341475395520108,0.34856300000000007,0.415594,6.397,0.538,44.828,46.921,0.169614374257304,-0.136620032727529,-0.066778219645991,0.945717,1.044851,0.860889,1.8558291304680006,,,
0.6463424396349717,0.355266,0.422297,5.118,0.678,48.276,46.921,0.165187915803852,-0.137937105869532,-0.0669076313577871,0.946391,1.045314,0.860733,1.6327637377375972,,,
0.6585373397179327,0.36196900000000004,0.429,4.052,0.503,47.784,46.921,0.159348755593325,-0.138226230916742,-0.0653868234842173,0.949085,1.047497,0.861952,1.3992105863864368,,,
0.6707322398008937,0.36867200000000006,0.435703,2.986,0.628,47.291,46.496,0.151161871551898,-0.137563653311567,-0.0618727861863459,0.952761,1.052077,0.863206,1.0939346991169987,,,
0.6829271398838547,0.37537500000000007,0.442406,2.133,0.585,45.813,46.709,0.143648697834242,-0.13608671922369,-0.0599641714627348,0.958322,1.058037,0.865993,0.7575294394892135,,,
0.6951220399668157,0.38207800000000003,0.449109,1.493,0.538,45.813,46.709,0.133552009136018,-0.133756400383148,-0.0563251496124021,0.964537,1.066808,0.869445,0.4007875185570534,,,
0.7073169400497766,0.38878100000000004,0.455812,1.28,0.699,44.335,46.709,0.119180556352017,-0.126800036119429,-0.0509213824743814,0.970602,1.07695,0.872288,0.2468600779315258,,,
0.7195136594524576,0.39548500000000003,0.462516,1.493,0.535,42.857,46.921,0.108048856368552,-0.12057026695521,-0.0473905175673954,0.978719,1.09055,0.874378,0.4007875185570534,,,
0.7317085595354186,0.40218800000000005,0.469219,0.853,0.674,41.872,46.284,0.0926727035760784,-0.1119278781914,-0.0394717555324657,0.988849,1.105703,0.877685,-0.15899573149045795,,,
0.7439034596183796,0.40889100000000006,0.475922,0.853,0.578,40.887,46.072,0.0791516707196008,-0.103785969806808,-0.032377844300857,1.002705,1.124174,0.883121,-0.15899573149045795,,,
0.7560983597013405,0.4155940000000001,0.482625,0.64,0.496,40.394,45.647,0.0674668859372132,-0.0926121367746159,-0.0247440961373964,1.015766,1.139699,0.888446,-0.4462871026284195,,,
0.7682932597843015,0.42229700000000003,0.489328,0.64,0.588,40.887,45.647,0.0577102322437591,-0.0803642624113497,-0.0206666740437787,1.031832,1.157233,0.89312,-0.4462871026284195,,,
0.7804881598672625,0.42900000000000005,0.496031,0.853,0.392,40.887,45.647,0.0449828669757101,-0.0651176979560286,-0.0116303106721702,1.046717,1.172088,0.898788,-0.15899573149045795,,,
0.7926830599502235,0.43570300000000006,0.502734,1.067,0.56,41.38,45.435,0.0349338000174053,-0.0517230123655621,-0.00427374851778055,1.057928,1.184173,0.906112,0.06485097231961627,,,
0.8048797793529043,0.442407,0.509438,1.28,0.506,41.38,45.435,0.0265993281042325,-0.0412116002170764,0.00179096747280169,1.067182,1.194686,0.91254,0.2468600779315258,,,
0.8170746794358653,0.44911,0.516141,1.493,0.596,41.38,45.435,0.0203124521371948,-0.0324048551440221,0.00286674740622517,1.076003,1.20791,0.918403,0.4007875185570534,,,
0.8292695795188263,0.455813,0.522844,2.133,0.703,41.38,45.647,0.0184220827294592,-0.0226707798967462,0.00261576433379161,1.08169,1.217435,0.923707,0.7575294394892135,,,
0.8414644796017873,0.46251600000000004,0.529547,2.559,0.542,42.365,45.859,0.0162526374028407,-0.0158236985456588,0.00520246055963511,1.086856,1.221031,0.927266,0.9396165571776518,,,
0.8536593796847484,0.46921900000000005,0.53625,3.199,0.685,42.857,45.859,0.0128753951490727,-0.00943104641872231,0.00762541640355485,1.094035,1.224012,0.928728,1.1628382609673809,,,
0.8658542797677093,0.47592200000000007,0.542953,3.839,0.617,41.872,46.072,0.0113304845919724,-0.00328965619208843,0.0102010897720003,1.09938,1.224576,0.92924,1.3452119160186606,,,
0.8780491798506703,0.4826250000000001,0.549656,4.478,0.617,41.38,46.072,0.00968303598694461,0.00252570569599302,0.0124826651643107,1.102466,1.223683,0.930586,1.499176518176563,,,
0.8902440799336313,0.4893280000000001,0.556359,5.331,0.706,41.38,46.496,0.00789687198920128,0.00686290041613428,0.017703879863808,1.107661,1.226849,0.932763,1.673538837840624,,,
0.9024389800165922,0.496031,0.563062,6.184,0.546,39.409,46.496,0.00280778774952861,0.0115325363929008,0.0180459857265459,1.109215,1.22892,0.933877,1.8219653112851208,,,
0.9146356994192731,0.502735,0.569766,6.397,0.663,37.439,46.284,-0.00193408411592742,0.0150028762043762,0.0182335376902544,1.115207,1.234119,0.936105,1.8558291304680006,,,
0.9268305995022341,0.5094380000000001,0.576469,6.61,0.574,35.961,46.284,-0.00508492563978139,0.0162924848507711,0.0161908080908122,1.113797,1.23574,0.93848,1.888583653863595,,,
