cardiac cycle [%],t abs [s],t [s],LVP [mmHg],ECG [mV],LAD Flow [ml/s],AoP [mmHg],rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml]
0.0,0.0,0.308344,,1.406,66.01,94.692,0.0,0.0,0.0,1.177301,1.200588,0.931591
0.015384332905672015,0.0067030000000000145,0.315047,,1.149,63.055,93.842,-0.00868691874961217,-0.00117941984608872,-0.00378724861415833,1.151047,1.187168,0.92809
0.030768665811343906,0.013405999999999973,0.32175,,0.728,59.114,93.418,-0.0188009489541606,-0.00311695145875401,-0.00740560027049064,1.129196,1.172379,0.921086
0.04615299871701592,0.020108999999999988,0.328453,,0.61,58.621,93.842,-0.0286115981519748,-0.0110985784006978,-0.0105679489829652,1.111499,1.151086,0.927604
0.06153733162268794,0.026812000000000002,0.335156,,0.571,44.335,94.055,-0.0332198369916757,-0.02044684033935,-0.0130670083486595,1.098758,1.130154,0.928813
0.07692166452835995,0.03351500000000002,0.341859,,0.553,29.557,96.815,-0.0348757591262081,-0.0288952432355695,-0.0164009592521314,1.07811,1.123916,0.922963
0.09230599743403184,0.040217999999999976,0.348562,,0.546,31.527,102.76,-0.0293142567465541,-0.0423771332632892,-0.0161804428931044,1.062182,1.107763,0.916888
0.10769262548111906,0.04692200000000002,0.355266,,0.556,35.468,111.677,-0.0209461526537407,-0.0597953363214346,-0.020081298013199,1.043482,1.094585,0.910197
0.12307695838679095,0.05362499999999998,0.361969,,0.542,37.931,114.437,-0.00084980278838428,-0.0766645742815072,-0.0233781708394218,1.028832,1.079252,0.901202
0.13846129129246296,0.06032799999999999,0.368672,,0.56,32.513,115.923,0.0262760695828964,-0.0949966316642365,-0.0254820181400923,1.007098,1.067684,0.892278
0.153845624198135,0.06703100000000001,0.375375,,0.56,27.094,118.046,0.0493713258750468,-0.112925557081912,-0.0254158807674173,0.994084,1.056407,0.882949
0.16922995710380687,0.07373399999999997,0.382078,,0.556,26.601,118.471,0.0753979298039328,-0.128586533719242,-0.0249282647441887,0.979056,1.043833,0.875758
0.18461429000947888,0.08043699999999998,0.388781,,0.563,28.572,118.471,0.0954933115961424,-0.146157447528818,-0.0246708417147806,0.963043,1.032387,0.867254
0.19999862291515091,0.08714,0.395484,,0.549,33.498,118.046,0.112501471940343,-0.1610062587124,-0.0269616302386968,0.952621,1.021642,0.85902
