cardiac cycle [%],t abs [s],t [s],LVP [mmHg],ECG [mV],LAD Flow [ml/s],AoP [mmHg],AoP/Flow,Pao/PLV,rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml]
0.00,0.000,0.589875,33.05,1.41,0.986,47.346,48.0,1.4,0,0,0,0.83683,0.763583,0.756289
0.01,0.007,0.596578,33.263,1.456,0.986,47.77,48.4,1.4,-0.00145458,0.000550582,0.000188114,0.83799,0.764212,0.755931
0.02,0.013,0.603281,34.542,0.899,0.493,47.133,95.6,1.4,-0.001781576,0.000416152,0.000138078,0.839218,0.765172,0.755195
0.03,0.020,0.609984,36.461,0.638,-0.492,47.133,-95.8,1.3,-9.24E-04,-0.000336466,0.00010162,0.839764,0.765956,0.754127
0.04,0.027,0.616687,39.233,0.613,-0.492,46.496,-94.5,1.2,0.001135458,-0.001501626,-0.000966444,0.838904,0.766086,0.752277
0.05,0.034,0.623391,41.152,0.588,-0.985,46.496,-47.2,1.1,0.00364722,-0.002802619,0.000308134,0.839256,0.764874,0.7498
0.06,0.040,0.630094,43.071,0.578,-0.492,47.133,-95.8,1.1,0.007504921,-0.003329745,0.001035683,0.838079,0.762773,0.750501
0.07,0.047,0.636797,46.696,0.553,0,47.346,#DIV/0!,1.0,0.010836188,-0.003832771,0.002445184,0.836772,0.762139,0.747266
0.08,0.054,0.6435,50.747,0.553,0.986,49.469,50.2,1.0,0.013800638,-0.003785158,0.005191424,0.836337,0.762698,0.746173
0.09,0.060,0.650203,54.798,0.531,0.986,52.229,53.0,1.0,0.017702427,-0.004511271,0.008161236,0.834825,0.76377,0.745271
0.10,0.067,0.656906,57.357,0.538,1.478,55.626,37.6,1.0,0.020477712,-0.005449407,0.00974115,0.83448,0.764367,0.74343
0.10,0.074,0.663609,59.063,0.546,1.478,59.023,39.9,1.0,0.024588252,-0.007020704,0.011038038,0.83414,0.765761,0.741958
0.11,0.080,0.670312,61.621,0.542,1.971,60.934,30.9,1.0,0.027718946,-0.008596643,0.012051441,0.83348,0.765981,0.740543
0.12,0.087,0.677016,64.393,0.556,2.956,63.269,21.4,1.0,0.03011313,-0.010312115,0.01242767,0.832377,0.764622,0.739758
0.13,0.094,0.683719,66.738,0.553,3.941,64.755,16.4,1.0,0.032175024,-0.012210055,0.012656937,0.830058,0.764695,0.738134
0.14,0.101,0.690422,67.378,0.563,4.434,66.454,15.0,1.0,0.033805535,-0.014130459,0.012620317,0.828883,0.764163,0.736357
0.15,0.107,0.697125,67.591,0.578,4.926,68.365,13.9,1.0,0.035623971,-0.016259494,0.01283845,0.827743,0.76447,0.735173
0.16,0.114,0.703828,69.084,0.574,4.926,69.002,14.0,1.0,0.037704035,-0.018543679,0.012957228,0.826318,0.764686,0.733477
0.17,0.121,0.710531,70.576,0.588,4.926,70.276,14.3,1.0,0.039747839,-0.020328237,0.013316314,0.825279,0.764981,0.732136
