cardiac cycle [%],t abs [s],t [s],LVP [mmHg],ECG [mV],LAD Flow [ml/s],AoP [mmHg],AoP/Flow,Pao/PLV,rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml]
0.0,0.0,0.174281,45.203,1.345,40.887,95.753,2.3418935113850368,2.1182886091631086,0.0,0.0,0.0,0.850938,0.807608,0.810185
0.009900799981093526,0.0067030000000000145,0.180984,52.453,1.499,39.409,94.904,2.4081808723895555,1.8093150058147291,-0.00483671390060912,0.00254917399254775,0.000134904639571795,0.855719,0.80934,0.807167
0.019803077032152862,0.013407000000000002,0.187688,64.819,1.399,37.931,93.418,2.462840420764019,1.4412132245175027,-0.00647039400443228,0.00390838933239735,0.00123731209356621,0.856661,0.807452,0.804441
0.02970387701324639,0.020110000000000017,0.194391,81.664,0.746,36.454,93.63,2.5684424205848466,1.1465272335423198,-0.00365113154042058,0.00379262352555006,0.00304739901223116,0.850207,0.799009,0.811071
0.03960467699433987,0.026813000000000003,0.201094,98.295,0.613,35.468,91.507,2.579987594451336,0.9309425708326975,0.00239930451499411,0.00113064491045105,0.00410640176079629,0.859987,0.803223,0.807607
0.0495054769754334,0.03351600000000002,0.207797,112.154,0.617,33.498,97.876,2.9218460803630073,0.8726929043993081,0.0109322541777757,-0.00206229584005619,0.00524878622559136,0.863327,0.805131,0.807965
0.059406276956526886,0.040219000000000005,0.2145,120.47,0.621,29.557,107.643,3.6418784044388812,0.8935253590105421,0.0212173520006914,-0.00964478194435321,0.00446719140217616,0.86517,0.806304,0.805002
0.06930707693762045,0.04692200000000005,0.221203,124.734,0.606,29.557,115.074,3.893290929390669,0.9225551974601953,0.0326817008046314,-0.0190250970542401,0.000224609512374949,0.864486,0.803787,0.801477
0.07920787691871398,0.05362500000000006,0.227906,126.44,0.581,33.005,122.08,3.698833510074231,0.9655172413793104,0.0445904933985395,-0.0274628946238688,-0.00560124238609036,0.864455,0.803701,0.798047
0.08910867689980755,0.060328000000000104,0.234609,126.014,0.592,33.99,122.293,3.597911150338335,0.9704715349088198,0.0574258409141705,-0.0360220464188144,-0.00996033576846531,0.860934,0.802133,0.795687
0.09900947688090107,0.06703100000000012,0.241312,125.374,0.585,34.483,124.628,3.6141867006930957,0.9940498029894556,0.0747552506912701,-0.0454242576480798,-0.012883142971732,0.854653,0.800456,0.791047
0.10891175393196037,0.07373500000000008,0.248016,124.947,0.588,34.483,124.84,3.6203346576573967,0.9991436369020464,0.0896531249755696,-0.053695282504642,-0.0152103262328669,0.850763,0.801044,0.788998
0.11881255391305381,0.08043800000000004,0.254719,126.227,0.592,34.976,123.779,3.5389695791399816,0.9806063678927646,0.103043224561117,-0.062950943756461,-0.0165224739790733,0.847359,0.799489,0.786038
0.1287133538941474,0.08714100000000008,0.261422,127.719,0.581,34.976,127.388,3.6421546203110706,0.9974083730690031,0.116845879531444,-0.0714389837423258,-0.0174409533314594,0.843573,0.798109,0.78129
0.1386141538752409,0.0938440000000001,0.268125,127.933,0.592,34.976,128.025,3.660367108874657,1.0007191264177342,0.130414301848965,-0.0811894233759887,-0.0175741276772902,0.834383,0.796698,0.779737
0.14851495385633443,0.10054700000000011,0.274828,127.933,0.588,34.483,129.087,3.7434967955224314,1.0090203465876668,0.141409752448303,-0.0892115336628688,-0.0215322961593548,0.831144,0.796245,0.775221
0.15841575383742787,0.10725000000000007,0.281531,128.146,0.603,35.468,132.271,3.7293052892748384,1.0321898459569554,0.151216752115854,-0.0975187067872339,-0.0270547965058588,0.825469,0.794198,0.773544
0.1683165538185214,0.11395300000000008,0.288234,130.065,0.599,35.961,133.333,3.7077111315035736,1.025125898589167,0.161113884295779,-0.104794965922105,-0.0303714277226891,0.821537,0.793588,0.770864
0.17821735379961492,0.1206560000000001,0.294937,131.984,0.596,36.946,135.031,3.6548205489092194,1.0230861316523214,0.169410368126587,-0.111708417079407,-0.0357876649308004,0.816481,0.791592,0.767505
