cardiac cycle [%],t abs [s],t [s],ECG [mV],AoP [mmHg],LVP [mmHg],LAD Flow [ml/s],rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml]
0.0,0.0,0.449109,1.72,48.031,7.888,22.549,0.0,0.0,0.0,0.985136,0.910064,0.934559
0.009090736481208249,0.0067030000000000145,0.455812,1.795,47.83,9.103,22.549,0.00209319678744952,-0.00284585376800388,-0.00228146366092418,0.981201,0.907184,0.930595
0.018182829181494664,0.013407000000000002,0.462516,1.806,47.426,11.33,22.059,0.00427455476507177,-0.00681697392273673,-0.00456736269761456,0.97553,0.903941,0.920775
0.027273565662702913,0.020110000000000017,0.469219,1.785,47.426,14.975,21.078,0.00625722676928687,-0.0106911367419986,-0.00635319369465883,0.970061,0.899227,0.909722
0.03636430214391116,0.02681300000000003,0.475922,1.581,48.031,19.835,20.588,0.00712507392297799,-0.0138157400748539,-0.00764678936983065,0.961999,0.890714,0.905974
0.04545503862511941,0.033516000000000046,0.482625,0.481,48.031,24.695,19.608,0.00669252227379292,-0.0155269043387235,-0.00892347989884007,0.958813,0.889989,0.90337
0.05454577510632758,0.040219000000000005,0.489328,0.496,48.031,29.758,17.157,0.00508161532545286,-0.0163435181953762,-0.0100261544088185,0.955453,0.888165,0.89895
0.06363651158753583,0.04692200000000002,0.496031,0.521,48.637,35.428,13.725,0.00300868049717545,-0.0172911056659702,-0.0107015288889425,0.953149,0.886698,0.896394
0.07272724806874407,0.053625000000000034,0.502734,0.521,50.05,41.098,8.823,0.00163071877774321,-0.0180088821154121,-0.0116026368683608,0.949963,0.885936,0.894354
0.08181934076903043,0.060328999999999966,0.509438,0.503,52.471,46.363,4.902,0.000937506313582645,-0.0185157373802459,-0.0127306145778256,0.947625,0.885522,0.892959
0.09091007725023867,0.06703199999999998,0.516141,0.46,55.7,51.02,4.902,0.00119976261450727,-0.0207746803926568,-0.014129168288025,0.945575,0.884415,0.891757
0.10000081373144691,0.073735,0.522844,0.51,59.131,54.665,7.353,0.00233372497029702,-0.0241980610564171,-0.0151887502975516,0.943132,0.884972,0.891724
0.10909155021265517,0.08043800000000001,0.529547,0.521,61.957,57.703,10.784,0.00373522784762527,-0.0280481190858399,-0.0164005284933101,0.940849,0.884064,0.891144
