cardiac cycle [%],t abs [s],t [s],ECG [mV],AoP [mmHg],LVP [mmHg],LAD Flow [ml/s],rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml]
0.0,0.0,0.120656,1.428,42.784,6.875,12.255,0.0,0.0,0.0,1.062444,0.989437,1.000946
0.00900883949535446,0.006703000000000001,0.127359,0.842,42.582,7.685,12.255,0.00181701481663313,-0.00156037915773097,-0.00204585954102001,1.059981,0.987261,0.999095
0.018017678990708903,0.013405999999999987,0.134062,0.563,42.381,8.9,12.255,0.0047463341032098,-0.00417073123960421,-0.00408509323737197,1.057904,0.98666,0.993549
0.027027862487181593,0.020110000000000003,0.140766,0.574,41.977,10.925,11.764,0.007272357538071,-0.00771207329480775,-0.00573985271661942,1.055443,0.985009,0.983333
0.036036701982536036,0.02681299999999999,0.147469,0.624,42.179,13.76,11.274,0.0100207309353297,-0.0106427448652163,-0.00755870927180165,1.053703,0.979898,0.975826
0.04504554147789051,0.033516000000000004,0.154172,0.563,42.784,17.405,10.784,0.0112557855558336,-0.0125002750013629,-0.0092751023643971,1.047388,0.975358,0.973041
0.054054380973244956,0.04021899999999999,0.160875,0.574,42.381,20.848,10.294,0.0114762910095608,-0.0136440949796211,-0.0103527759248989,1.048196,0.97615,0.969892
0.06306322046859944,0.046922000000000005,0.167578,0.581,42.381,24.29,9.314,0.0104640706601722,-0.0136023593343395,-0.011099955632884,1.045398,0.972304,0.966091
0.07207205996395388,0.05362499999999999,0.174281,0.542,42.784,28.138,7.353,0.0100953247900526,-0.0132036127101827,-0.0117626935264841,1.042981,0.969643,0.963875
0.08108089945930835,0.06032800000000001,0.180984,0.592,43.188,31.985,5.392,0.00920494857915058,-0.0125596680807595,-0.0128924342207039,1.04266,0.970482,0.962146
0.09009108295578101,0.067032,0.187688,0.553,44.399,36.035,3.921,0.00931430867021135,-0.0126375330737373,-0.0136222812180369,1.041291,0.969029,0.960371
0.09909992245113548,0.07373500000000001,0.194391,0.571,46.013,39.478,4.412,0.00974049003304587,-0.0131848534064368,-0.0144857817040968,1.039458,0.967398,0.958898
0.10810876194648993,0.080438,0.201094,0.585,48.435,42.313,4.902,0.0103804330425298,-0.0148813160499195,-0.0155768706220498,1.037389,0.966261,0.958413
0.11711760144184441,0.08714100000000001,0.207797,0.549,50.655,45.148,5.882,0.0116499635482109,-0.0171321271269312,-0.0166705644446918,1.036463,0.965747,0.957206
0.12612644093719885,0.093844,0.2145,0.603,52.875,47.375,7.353,0.0136552369754199,-0.0197120776517165,-0.0179311964500218,1.034026,0.965037,0.956782
0.13513528043255332,0.10054700000000001,0.221203,0.563,54.691,49.4,9.314,0.0150944335235842,-0.0224365090825256,-0.0193783611922744,1.032627,0.96477,0.956567
0.14414411992790777,0.10725,0.227906,0.585,56.508,51.02,10.294,0.0173166341131056,-0.0249733256869058,-0.0207233330132626,1.03106,0.963811,0.955969
0.15315295942326226,0.11395300000000001,0.234609,0.596,57.719,52.235,10.784,0.0192704655418162,-0.0284213740013071,-0.0223233252844839,1.029266,0.963179,0.955869
0.1621617989186167,0.120656,0.241312,0.567,58.93,53.45,11.274,0.0214559583512225,-0.0318831972547312,-0.0239889055000544,1.027696,0.962846,0.955248
0.17117198241508932,0.12735999999999997,0.248016,0.613,60.14,54.26,11.764,0.0243404124942722,-0.0346955303420322,-0.0254155997051002,1.025137,0.961248,0.953827
0.18018082191044377,0.13406299999999996,0.254719,0.574,60.948,54.868,11.274,0.0266734190667944,-0.0377796885638623,-0.0269660452965108,1.021694,0.960446,0.953442
0.18918966140579827,0.14076599999999997,0.261422,0.603,61.553,55.475,11.274,0.0295684300205935,-0.0407385994954224,-0.028053779589506,1.022858,0.963852,0.953417
0.19819850090115274,0.147469,0.268125,0.606,61.957,55.88,11.764,0.0325499938694993,-0.0437698142564607,-0.0295392504318378,1.020501,0.961671,0.952966
0.2072073403965072,0.154172,0.274828,0.578,62.562,56.285,11.274,0.0362539272471869,-0.0466563441804446,-0.0316096178592894,1.018443,0.961017,0.951998
0.21621617989186162,0.16087499999999996,0.281531,0.621,62.764,56.488,10.784,0.0393438344952989,-0.0494246357484247,-0.033472345068406,1.016811,0.960453,0.950752
0.2252250193872161,0.16757799999999998,0.288234,0.578,62.764,56.69,10.784,0.0431792950571064,-0.0528100159588406,-0.0357274106014997,1.014556,0.960153,0.950166
0.23423385888257056,0.174281,0.294937,0.613,62.966,56.69,10.784,0.0468008659325555,-0.0568557083318641,-0.0378883875743773,1.013409,0.959385,0.949382
0.24324404237904323,0.18098499999999998,0.301641,0.603,63.369,56.69,10.294,0.0497306216804595,-0.0599762422615103,-0.03987240804466,1.01154,0.958823,0.949562
0.2522528818743977,0.187688,0.308344,0.571,63.369,56.69,10.294,0.0519188037413424,-0.0627032078596334,-0.0420758351213488,1.010271,0.95907,0.948984
0.2612617213697522,0.194391,0.315047,0.603,63.369,56.69,10.294,0.0545132275193335,-0.0662451589434149,-0.043873791735403,1.00796,0.958684,0.948419
0.2702705608651066,0.20109399999999997,0.32175,0.538,63.369,56.69,10.294,0.0575473656677084,-0.0681178454248373,-0.0453614782570757,1.007018,0.959466,0.947976
0.27927940036046106,0.20779699999999998,0.328453,0.549,63.168,56.488,10.294,0.0604413876603272,-0.0704649498808328,-0.0467547785541796,1.004811,0.958633,0.947399
0.28828823985581553,0.2145,0.335156,0.553,63.369,56.285,10.294,0.0639654388190646,-0.0728650473855578,-0.0479994830715969,1.004276,0.95887,0.946451
0.29729707935117,0.221203,0.341859,0.556,63.369,56.083,10.294,0.0673496946103381,-0.0756126290699036,-0.0490158215259772,1.00317,0.959063,0.946001
0.3063059188465244,0.22790599999999997,0.348562,0.638,63.168,56.083,10.294,0.0698452115268041,-0.0783527525571023,-0.0503091199652751,1.000691,0.959142,0.945294
0.3153161023429972,0.23461,0.355266,0.617,62.966,55.88,10.294,0.0727340764701234,-0.0808217563369818,-0.0513920610249273,1.000239,0.960089,0.945191
0.3243249418383516,0.24131299999999997,0.361969,0.667,62.764,55.475,10.294,0.0750643092520537,-0.0829214823822057,-0.0524066311925582,0.997411,0.959249,0.944615
0.33333378133370606,0.248016,0.368672,0.678,62.36,55.07,9.804,0.0768501006408411,-0.0847825122675893,-0.0533917296739464,0.998468,0.960231,0.945228
0.3423426208290606,0.25471900000000003,0.375375,0.671,61.957,54.665,9.314,0.0790729558298421,-0.08638555350447,-0.0539630558651857,0.997053,0.959711,0.944448
0.35135146032441494,0.261422,0.382078,0.71,61.553,54.26,9.314,0.0815176048911425,-0.0879832597065317,-0.0552295877198481,0.995499,0.959554,0.944166
0.36036029981976947,0.268125,0.388781,0.649,61.351,53.653,9.314,0.0839540725024893,-0.0896257283269898,-0.0563543817948633,0.995982,0.959934,0.944652
0.36936913931512394,0.274828,0.395484,0.674,60.746,53.248,9.314,0.0867663398774089,-0.0911398945800145,-0.0575039771660779,0.994112,0.959835,0.944226
0.3783779788104784,0.28153100000000003,0.402187,0.66,60.342,52.64,9.314,0.0904208347198657,-0.0925568572709823,-0.0585124613204871,0.994117,0.959859,0.944211
0.38738816230695106,0.288235,0.408891,0.635,59.939,52.235,9.314,0.0927737825625703,-0.0942200973148884,-0.0596442967495614,0.992078,0.960228,0.943588
0.3963970018023055,0.29493800000000003,0.415594,0.671,59.535,51.628,8.823,0.095463671522171,-0.0956848879227144,-0.0605009576467594,0.992355,0.959459,0.943933
0.40540584129765994,0.301641,0.422297,0.624,59.131,51.02,8.823,0.0978723642757034,-0.0970605484913894,-0.0614200315538758,0.990144,0.959357,0.944162
0.4144146807930144,0.308344,0.429,0.649,58.324,50.21,8.823,0.100049021724425,-0.0991266966252969,-0.0622636085183573,0.990766,0.959582,0.944203
0.4234235202883689,0.315047,0.435703,0.642,57.92,49.603,8.823,0.101947296482912,-0.1015786317701,-0.0633800287891307,0.990038,0.959646,0.944667
0.4324323597837234,0.32175000000000004,0.442406,0.628,57.113,48.793,8.823,0.103850234138803,-0.103290693789864,-0.0642341777159289,0.987706,0.960302,0.945506
0.44144119927907777,0.328453,0.449109,0.667,56.306,47.78,8.823,0.105372667242785,-0.104470029776512,-0.0650140633746991,0.987061,0.959667,0.945745
0.45045003877443224,0.335156,0.455812,0.621,55.297,46.565,8.333,0.106777675274222,-0.105868932694312,-0.0657791030536414,0.986489,0.959327,0.94626
0.45946022227090494,0.34186,0.462516,0.66,54.086,44.945,7.843,0.108230643139538,-0.107055606467252,-0.0667155425051246,0.985896,0.959027,0.947479
0.4684690617662594,0.348563,0.469219,0.646,52.471,43.123,7.353,0.109869326081286,-0.107839082964523,-0.0676677172829397,0.985094,0.957047,0.94795
0.4774779012616139,0.355266,0.475922,0.635,50.453,41.098,7.353,0.111579752258808,-0.108310094569628,-0.0685815999370396,0.98509,0.956719,0.948873
0.48648674075696835,0.36196900000000004,0.482625,0.671,48.233,38.465,6.372,0.112988159240387,-0.109018148321732,-0.0697258191692408,0.984515,0.957144,0.950085
0.49549558025232276,0.368672,0.489328,0.624,46.013,35.833,5.392,0.114062934238347,-0.109161646861506,-0.0702487419384149,0.985866,0.957826,0.950815
0.5045044197476772,0.375375,0.496031,0.667,44.399,32.998,4.412,0.115346535970204,-0.108590118623696,-0.071290354511096,0.985316,0.958881,0.952085
0.5135132592430317,0.38207800000000003,0.502734,0.642,47.022,29.353,3.921,0.116102827760569,-0.107979933477041,-0.0720374700371762,0.986916,0.960932,0.954465
0.5225234427395044,0.38878199999999996,0.509438,0.638,51.462,25.708,6.372,0.116188794796381,-0.108343166810526,-0.0724875582032254,0.987824,0.963769,0.955214
0.5315322822348588,0.395485,0.516141,0.678,51.664,23.278,14.706,0.115568041654156,-0.109425560589014,-0.0724605322150028,0.9886,0.963446,0.955418
0.5405411217302133,0.402188,0.522844,0.635,51.462,20.848,20.098,0.116939708778365,-0.110440202864503,-0.0729061254410504,0.989375,0.965277,0.957402
0.5495499612255678,0.408891,0.529547,0.671,51.059,18.62,18.627,0.120008837248538,-0.112768817010085,-0.0726929708688128,0.98821,0.967196,0.959753
0.5585588007209222,0.415594,0.53625,0.649,51.059,16.595,15.686,0.12246637902214,-0.112873399164631,-0.0727723051758342,0.988584,0.968656,0.962083
0.5675676402162767,0.42229700000000003,0.542953,0.649,51.664,14.773,14.706,0.12428760672538,-0.113515551459439,-0.0724977470445222,0.989276,0.970093,0.963326
0.5765764797116312,0.42900000000000005,0.549656,0.681,51.866,12.95,15.196,0.126535648930945,-0.113977971615571,-0.0722060242039351,0.990313,0.971683,0.96524
0.5855853192069856,0.43570300000000006,0.556359,0.638,51.866,11.533,15.196,0.129352398799759,-0.113956963723093,-0.0712691170458421,0.992032,0.973139,0.966785
0.59459415870234,0.44240599999999997,0.563062,0.681,51.664,9.913,14.706,0.131313555107193,-0.113197929518061,-0.0706318614632996,0.992141,0.974799,0.968544
0.6036043421988128,0.44911,0.569766,0.656,51.462,8.698,13.235,0.132716036675346,-0.113318451179998,-0.069988122141816,0.993351,0.976785,0.970528
0.6126131816941672,0.455813,0.576469,0.653,51.261,7.483,13.725,0.132981400491216,-0.114049654406518,-0.0688301790889121,0.994577,0.979024,0.973069
0.6216220211895217,0.46251600000000004,0.583172,0.685,51.261,6.673,14.215,0.134077088186674,-0.114474710305992,-0.0675150042432706,0.995599,0.981384,0.975001
0.6306308606848762,0.46921900000000005,0.589875,0.646,51.059,5.863,14.706,0.134452916700216,-0.115292095578672,-0.0665776904475861,0.996636,0.983732,0.97677
0.6396397001802306,0.47592200000000007,0.596578,0.685,51.059,5.255,14.706,0.132850170497914,-0.116395733016483,-0.063661435174835,0.998649,0.986861,0.978374
0.648648539675585,0.48262499999999997,0.603281,0.663,50.655,4.85,14.706,0.129527610075906,-0.11674859349681,-0.0596946190019519,0.998455,0.99036,0.980067
0.6576573791709395,0.489328,0.609984,0.663,50.655,4.648,14.706,0.124562670314109,-0.114454786088296,-0.0563723357193283,1.002234,0.994281,0.982219
0.6666662186662939,0.496031,0.616687,0.692,50.655,4.243,14.706,0.119815865663807,-0.113728391296879,-0.0526674119347795,1.002677,0.997338,0.984055
0.6756764021627667,0.502735,0.623391,0.649,50.453,4.04,14.706,0.115547609270611,-0.109326517212197,-0.0492522019187615,1.006021,1.001467,0.987145
0.6846852416581212,0.5094380000000001,0.630094,0.692,50.453,3.635,14.706,0.109212745013368,-0.103463180329556,-0.0446433196223458,1.009425,1.004514,0.990058
0.6936940811534754,0.516141,0.636797,0.667,50.251,3.635,15.196,0.101632719786534,-0.0971583380362018,-0.0397663473994848,1.012638,1.006648,0.99421
0.7027029206488299,0.522844,0.6435,0.667,50.05,3.433,14.706,0.0917485299369907,-0.0910016263083425,-0.0336882998745015,1.01911,1.008894,0.998567
0.7117117601441844,0.529547,0.650203,0.692,49.848,3.23,15.196,0.0822758137283449,-0.0838126437500812,-0.0281173430820454,1.0231,1.010439,1.002139
0.7207205996395389,0.53625,0.656906,0.646,49.848,3.028,14.706,0.0703363530856797,-0.0766909999588642,-0.0231506126820334,1.027664,1.009748,1.003662
0.7297294391348934,0.542953,0.663609,0.696,49.646,3.028,14.706,0.0606879839658166,-0.0668345668476824,-0.0183839622542674,1.031679,1.009015,1.004504
0.7387382786302479,0.549656,0.670312,0.667,49.444,3.028,14.706,0.0508639675334809,-0.0582379239799521,-0.0154480437984216,1.036478,1.008886,1.00453
0.7477484621267204,0.55636,0.677016,0.674,49.242,3.028,15.196,0.0420048037213309,-0.0505435678857868,-0.0127836814315779,1.041364,1.008005,1.005024
0.7567573016220749,0.563063,0.683719,0.699,48.839,3.23,15.196,0.0354850059681547,-0.043512335670109,-0.0102609254898147,1.044703,1.008077,1.005508
0.7657661411174294,0.569766,0.690422,0.66,48.233,3.433,15.196,0.0311634945294258,-0.0372743843212977,-0.00857605755006777,1.048248,1.007588,1.005329
0.7747749806127838,0.576469,0.697125,0.717,48.031,3.635,14.706,0.0272867666314319,-0.0327182006731465,-0.00726557655731203,1.051145,1.007009,1.004904
0.7837838201081383,0.583172,0.703828,0.681,47.628,3.635,14.215,0.0237645945475629,-0.0291249857375289,-0.00597305976287892,1.05374,1.006708,1.005606
0.7927926596034929,0.589875,0.710531,0.738,47.426,4.04,14.215,0.0207625142502359,-0.0265874081549433,-0.00517403275540618,1.054958,1.00661,1.006075
0.8018014990988473,0.596578,0.717234,0.813,47.224,4.04,14.215,0.018669651003901,-0.0241028267997656,-0.00464806078275364,1.054881,1.006343,1.006224
0.8108116825953199,0.603282,0.723938,0.753,46.821,4.243,14.215,0.0164475254283573,-0.0224749803418123,-0.00403486483752515,1.055113,1.007125,1.006943
0.8198205220906744,0.609985,0.730641,0.763,46.821,4.445,14.215,0.0147304830999119,-0.0215956212772059,-0.0034169987883335,1.055417,1.007248,1.006794
0.8288293615860288,0.616688,0.737344,0.681,46.619,4.243,14.215,0.0138761860391297,-0.0209042371135518,-0.00282124678847386,1.055312,1.00766,1.00704
0.8378382010813833,0.623391,0.744047,0.649,46.215,4.445,14.215,0.013139524863117,-0.0204935817920832,-0.00217919297610186,1.054879,1.00706,1.006109
0.8468470405767378,0.630094,0.75075,0.656,45.812,4.445,14.215,0.0122118281695944,-0.0202190305567714,-0.00153116852397463,1.054019,1.005591,1.006165
0.8558558800720922,0.6367970000000001,0.757453,0.621,45.812,4.648,14.215,0.0112355901664856,-0.019898124681114,-0.000809035787056479,1.054121,1.005757,1.006378
0.8648647195674466,0.6435,0.764156,0.667,45.812,4.648,13.725,0.0107789725695271,-0.019832703897004,-7.53678792344614e-05,1.05291,1.003265,1.005575
0.8738735590628011,0.650203,0.770859,0.638,45.408,4.85,13.725,0.0106557209611613,-0.0194357680619977,0.00102308069943841,1.053036,1.003013,1.004456
0.8828823985581555,0.656906,0.777562,0.653,45.408,5.053,13.725,0.0101785419264271,-0.0199258287718874,0.00165646958942643,1.053635,1.00229,1.00306
0.8918925820546283,0.66361,0.784266,0.663,45.206,5.255,13.725,0.010157822450326,-0.0189438640545179,0.00228461869831056,1.054958,1.001529,1.002678
