cardiac cycle [%],t abs [s],t [s],ECG [mV],AoP [mmHg],LVP [mmHg],LAD Flow [ml/s],rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml]
0.0,0.0,0.308344,1.26,41.977,11.938,3.431,0.0,0.0,0.0,0.812814,0.854161,0.870281
0.009174148691558106,0.0067030000000000145,0.315047,0.521,41.977,12.748,3.431,0.000508875896395451,-0.00134376874131378,0.000821931051965173,0.813372,0.852818,0.869217
0.018348297383116136,0.013405999999999973,0.32175,0.506,41.977,14.368,3.921,0.0012955480158902,-0.00308042005448881,0.00273755854508912,0.813454,0.851527,0.866187
0.027522446074674245,0.020108999999999988,0.328453,0.524,41.775,16.798,3.431,0.00194421947554196,-0.00441620804355399,0.0050558379164905,0.813474,0.850611,0.86148
0.03669659476623235,0.026812000000000002,0.335156,0.503,41.977,20.443,2.941,0.00238839246624467,-0.00430607611273332,0.00810810202768522,0.813333,0.848225,0.860022
0.04587074345779046,0.03351500000000002,0.341859,0.506,42.582,24.898,2.451,0.000831445218985428,-0.00372152935235921,0.0109805249196782,0.812263,0.849115,0.860113
0.05504489214934849,0.040217999999999976,0.348562,0.453,42.582,28.948,1.47,-0.0019235832816362,-0.00121966153742003,0.014955459579267,0.815641,0.849433,0.858492
0.06422040950399653,0.04692200000000002,0.355266,0.474,43.592,32.998,0.49,-0.00401717837664783,0.00152694117079127,0.0187839933017285,0.817313,0.84848,0.85835
0.07339455819555456,0.05362499999999998,0.361969,0.453,45.206,37.655,-0.49,-0.00563592309820342,0.00481078938005147,0.0226662437251599,0.818688,0.850051,0.85782
0.08256870688711267,0.06032799999999999,0.368672,0.46,47.224,41.503,-0.49,-0.00721071056063076,0.00807058632023242,0.0248527259068007,0.81936,0.850844,0.857637
0.09174285557867078,0.06703100000000001,0.375375,0.471,49.848,45.148,1.47,-0.00815288976652732,0.00868290175876314,0.0268208971130857,0.820754,0.850243,0.857182
0.1009170042702288,0.07373399999999997,0.382078,0.446,52.471,47.983,2.451,-0.00911995044415336,0.00850127535364664,0.0284471646486906,0.820739,0.849583,0.857047
0.11009115296178691,0.08043699999999998,0.388781,0.471,54.893,50.413,3.431,-0.0101585846569852,0.00793160956215498,0.0297384360919349,0.820635,0.849888,0.85587
0.11926530165334501,0.08714,0.395484,0.449,56.911,52.438,3.921,-0.0109874242850385,0.006853046926725,0.0312672380131778,0.820244,0.852166,0.856985
0.12843945034490312,0.09384300000000001,0.402187,0.453,58.526,53.855,4.902,-0.0112734549746477,0.0052937756554118,0.0330043264316231,0.819087,0.850872,0.85672
0.1376149676995511,0.100547,0.408891,0.46,59.939,55.07,4.902,-0.0108412606975604,0.00358054982029945,0.0340543163924708,0.818815,0.852137,0.856339
0.1467891163911092,0.10725000000000001,0.415594,0.431,61.15,56.083,4.902,-0.0104437222762326,0.00165067100485981,0.034596149394464,0.818154,0.853175,0.856987
0.15596326508266722,0.11395299999999997,0.422297,0.46,61.957,56.893,4.902,-0.00975728448396779,-0.000429685331323553,0.0350446418878989,0.818713,0.854003,0.856768
0.16513741377422533,0.12065599999999999,0.429,0.431,62.764,57.5,5.392,-0.00865477109761051,-0.00245884313568981,0.0353888334577783,0.818128,0.854108,0.857966
0.17431156246578344,0.127359,0.435703,0.442,63.168,57.905,5.392,-0.00788426260507667,-0.00422389750345055,0.035631278584914,0.815703,0.854161,0.85778
0.18348571115734155,0.13406200000000001,0.442406,0.446,63.571,58.31,5.392,-0.0067111776413952,-0.00660381572540718,0.0351378651571563,0.815627,0.854655,0.85733
0.19265985984889958,0.14076499999999997,0.449109,0.421,63.975,58.715,4.902,-0.00617009302343604,-0.0091640991577597,0.0350290282613496,0.813567,0.855575,0.857783
0.2018340085404577,0.147468,0.455812,0.446,64.379,58.715,4.902,-0.00492456451713225,-0.0117612347842291,0.0351599371646972,0.814316,0.854747,0.85677
0.21100952589510563,0.15417199999999998,0.462516,0.417,64.379,58.918,4.902,-0.00362352529564905,-0.0140439788393614,0.0345234696450006,0.813564,0.854743,0.856697
0.22018367458666374,0.160875,0.469219,0.421,64.58,58.715,4.902,-0.00217197944106629,-0.0167293613065336,0.0341198011746608,0.813238,0.856268,0.856569
0.22935782327822185,0.167578,0.475922,0.421,64.782,58.715,4.902,-0.00117906024044364,-0.0196241634018846,0.0336068473937653,0.810935,0.85594,0.856608
0.23853197196977996,0.17428100000000002,0.482625,0.396,64.782,58.513,4.902,9.62317034406612e-05,-0.0227110339578144,0.0327641346521903,0.811611,0.856704,0.857328
0.247706120661338,0.18098399999999998,0.489328,0.417,64.782,58.513,4.902,0.000734409170962644,-0.0252786891890804,0.0318790818012358,0.810972,0.856641,0.85788
0.2568802693528961,0.187687,0.496031,0.385,64.782,58.31,4.902,0.00132064956471301,-0.0277967012769652,0.0317060760022234,0.809624,0.856758,0.858092
0.2660544180444542,0.19439,0.502734,0.392,64.58,57.905,4.412,0.00135865006001446,-0.0296423031107651,0.0318684911742801,0.809021,0.856797,0.858217
0.27522993539910207,0.20109399999999994,0.509438,0.385,64.379,57.905,4.902,0.00171254078275732,-0.0314891480913127,0.0321916394250956,0.809135,0.85757,0.859062
0.2844040840906602,0.20779699999999995,0.516141,0.342,64.177,57.703,4.412,0.00290415083537749,-0.0330661436033422,0.0325760614583657,0.808373,0.857944,0.858864
0.2935782327822183,0.21449999999999997,0.522844,0.371,64.177,57.298,4.412,0.00508681019776666,-0.0338415255524699,0.0332200016676796,0.808063,0.858667,0.859561
0.3027523814737764,0.22120299999999998,0.529547,0.367,63.975,57.298,4.412,0.00624166491388766,-0.0342788804131818,0.0335306249044373,0.806874,0.858556,0.859371
0.3119265301653345,0.227906,0.53625,0.424,63.571,56.69,4.412,0.00726344526093881,-0.035418869452326,0.0333055537679476,0.807726,0.85797,0.85881
0.32110067885689264,0.234609,0.542953,0.492,63.369,56.488,4.412,0.00822113816602332,-0.0366304343312309,0.0337000423973003,0.805697,0.857623,0.858997
0.3302748275484507,0.24131200000000003,0.549656,0.517,63.168,56.083,4.412,0.00987428595967786,-0.0384549138494391,0.0337385637334363,0.805606,0.857619,0.859616
0.33944897624000886,0.24801500000000004,0.556359,0.592,62.764,55.678,4.412,0.0101062118633643,-0.0395650736452573,0.0336691561638053,0.806558,0.857949,0.859426
0.3486231249315668,0.25471799999999994,0.563062,0.603,62.36,55.273,4.412,0.0116807469180491,-0.0406659639047781,0.033454733579433,0.805261,0.857753,0.860732
0.35779864228621483,0.261422,0.569766,0.653,62.159,54.665,4.412,0.0127257237743529,-0.0414293697774856,0.033486972966299,0.802787,0.857751,0.860517
0.3669727909777729,0.268125,0.576469,0.738,61.553,54.26,4.412,0.0134991216253932,-0.0418167762463543,0.0332683363532592,0.805294,0.857296,0.860076
0.37614693966933105,0.274828,0.583172,0.76,61.351,53.653,4.412,0.0134086430901979,-0.0415744567369644,0.0330278363849502,0.805406,0.858162,0.860499
0.38532108836088913,0.28153100000000003,0.589875,0.806,60.948,53.248,3.921,0.0139876227823497,-0.0414651786229858,0.0330630577159613,0.805216,0.85717,0.860676
0.39449523705244727,0.28823400000000005,0.596578,0.781,60.342,52.64,3.921,0.0137892369457351,-0.0411371180422033,0.0330163945258514,0.802695,0.85771,0.860474
0.40366938574400524,0.29493699999999995,0.603281,0.796,59.939,52.033,4.412,0.0133100673946755,-0.0406670171055395,0.0328923324447993,0.80288,0.858508,0.860828
0.4128435344355633,0.30163999999999996,0.609984,0.799,59.333,51.425,3.921,0.0127069021652033,-0.0400237834275146,0.0327338614884386,0.802743,0.858204,0.860759
0.4220176831271214,0.308343,0.616687,0.774,58.728,50.818,3.921,0.0120105595154488,-0.0393314277390928,0.0326936679860746,0.802557,0.85792,0.860651
0.43119320048176946,0.315047,0.623391,0.796,57.92,50.008,3.921,0.012192288040153,-0.0384473182821159,0.0324471434428744,0.802297,0.85679,0.860438
0.4403673491733276,0.32175000000000004,0.630094,0.771,57.113,48.793,3.431,0.0122055744978471,-0.0375047910198013,0.0321946574915044,0.802272,0.856312,0.860636
0.4495414978648855,0.32845299999999994,0.636797,0.781,56.104,47.78,3.431,0.0127665815433699,-0.0371201225125923,0.0319189091640727,0.804146,0.856052,0.861461
0.45871564655644365,0.33515599999999995,0.6435,0.785,54.893,46.363,3.431,0.0132475311845431,-0.0364689827099513,0.0313393175509469,0.804055,0.85536,0.861928
0.4678897952480017,0.34185899999999997,0.650203,0.746,53.077,44.54,3.431,0.0141061889126554,-0.0363307707153057,0.0305172872245909,0.804436,0.855393,0.862303
0.47706394393955986,0.348562,0.656906,0.788,51.059,42.11,2.941,0.0155006173965895,-0.0373703241929259,0.0291856009290955,0.804484,0.85465,0.863928
